Name_CN,Name_EN,year_range,Area_Year_Book,Area_pixel,Area_pixel_km2
镇江市,Zhenjiang,1999_2001,57.0,472520.2745098039,425.26824705882353
镇江市,Zhenjiang,2002_2004,79.0,523525.5960784314,471.1730364705882
镇江市,Zhenjiang,2005_2007,90.0,659212.2431372551,593.2910188235296
镇江市,Zhenjiang,2008_2010,104.0,860079.1058823528,774.0711952941175
镇江市,Zhenjiang,2011_2013,120.0,1135649.6862745096,1022.0847176470588
镇江市,Zhenjiang,2014_2016,138.0,1464058.576470588,1317.6527188235293
镇江市,Zhenjiang,2017_2019,143.0,1570572.8392156863,1413.5155552941176
泰州市,Taizhou,1993_1995,22.0,325397.28235294117,292.85755411764706
泰州市,Taizhou,1996_1998,29.0,381816.13333333336,343.63452
泰州市,Taizhou,1999_2001,37.0,434035.7254901961,390.6321529411765
泰州市,Taizhou,2002_2004,48.0,484179.51372549025,435.7615623529412
泰州市,Taizhou,2005_2007,50.0,675747.8156862744,608.1730341176471
泰州市,Taizhou,2008_2010,61.0,872617.8549019608,785.3560694117648
泰州市,Taizhou,2011_2013,70.0,1221715.0352941179,1099.543531764706
泰州市,Taizhou,2014_2016,105.0,1642028.823529412,1477.8259411764711
泰州市,Taizhou,2017_2019,129.0,1912753.9450980395,1721.4785505882357
宿迁市,Suqian,1993_1995,12.0,580983.4705882353,522.8851235294118
宿迁市,Suqian,1996_1998,13.0,636956.2274509805,573.2606047058824
宿迁市,Suqian,1999_2001,22.0,788481.0196078432,709.6329176470589
宿迁市,Suqian,2002_2004,30.0,895140.3843137256,805.626345882353
宿迁市,Suqian,2005_2007,48.0,937461.9098039217,843.7157188235295
宿迁市,Suqian,2008_2010,63.0,1135684.3529411764,1022.1159176470587
宿迁市,Suqian,2011_2013,70.0,1436771.2235294117,1293.0941011764705
宿迁市,Suqian,2014_2016,85.0,1735486.2549019607,1561.9376294117646
宿迁市,Suqian,2017_2019,94.0,1964764.8039215687,1768.2883235294119
合肥市,Hefei,1993_1995,81.0,968617.2941176471,871.7555647058824
合肥市,Hefei,1996_1998,120.0,1123950.6627450981,1011.5555964705883
合肥市,Hefei,1999_2001,125.0,1279707.5686274508,1151.7368117647056
合肥市,Hefei,2002_2004,148.0,1429346.7607843138,1286.4120847058825
合肥市,Hefei,2005_2007,225.0,1661868.125490196,1495.6813129411764
合肥市,Hefei,2008_2010,280.0,2392858.525490196,2153.5726729411763
合肥市,Hefei,2011_2013,378.0,2681521.4980392153,2413.3693482352937
合肥市,Hefei,2014_2016,416.0,3115251.670588235,2803.7265035294113
合肥市,Hefei,2017_2019,466.0,3841289.768627451,3457.1607917647057
芜湖市,Wuhu,1993_1995,33.0,289765.0196078432,260.7885176470589
芜湖市,Wuhu,1996_1998,36.0,380086.47843137255,342.0778305882353
芜湖市,Wuhu,1999_2001,68.0,437546.1137254902,393.7915023529412
芜湖市,Wuhu,2002_2004,82.0,491524.0392156863,442.37163529411765
芜湖市,Wuhu,2005_2007,117.0,594554.0313725489,535.098628235294
芜湖市,Wuhu,2008_2010,130.0,788094.737254902,709.2852635294117
芜湖市,Wuhu,2011_2013,146.0,957170.7882352942,861.4537094117647
芜湖市,Wuhu,2014_2016,165.0,1297502.5529411763,1167.7522976470586
芜湖市,Wuhu,2017_2019,179.0,1405542.2745098039,1264.9880470588234
蚌埠市,Bengbu,1993_1995,37.0,531359.1921568627,478.22327294117645
蚌埠市,Bengbu,1996_1998,44.0,603853.6588235294,543.4682929411764
蚌埠市,Bengbu,1999_2001,51.0,691255.5803921568,622.1300223529411
