Sensor,Span,Harmonic,Index,Mean_Err
Landsat_7,3,4,EVI,30.689999999999994
Landsat_7,3,4,NDBI,33.13666666666668
Landsat_7,3,4,NDVI,33.483333333333334
Landsat_7,3,5,EVI,29.703333333333326
Landsat_7,3,5,NDBI,31.909999999999986
Landsat_7,3,5,NDVI,32.45666666666668
Landsat_7,3,6,EVI,28.676666666666662
Landsat_7,3,6,NDBI,30.893333333333334
Landsat_7,3,6,NDVI,31.333333333333325
Landsat_7,3,7,EVI,27.63000000000001
Landsat_7,3,7,NDBI,29.806666666666665
Landsat_7,3,7,NDVI,30.326666666666664
Landsat_7,3,8,EVI,26.739999999999995
Landsat_7,3,8,NDBI,28.826666666666657
Landsat_7,3,8,NDVI,29.26666666666667
Landsat_7,3,9,EVI,25.86666666666667
Landsat_7,3,9,NDBI,27.80333333333333
Landsat_7,3,9,NDVI,28.206666666666656
Landsat_7,3,10,EVI,24.733333333333334
Landsat_7,3,10,NDBI,26.726666666666667
Landsat_7,3,10,NDVI,27.010000000000012
Landsat_7,4,1,EVI,34.01
Landsat_7,4,1,NDBI,33.05
Landsat_7,4,1,NDVI,31.8975
Landsat_7,4,2,EVI,31.35
Landsat_7,4,2,NDBI,31.0625
Landsat_7,4,2,NDVI,30.18
Landsat_7,4,3,EVI,25.2175
Landsat_7,4,3,NDBI,27.9325
Landsat_7,4,3,NDVI,26.495
Landsat_7,4,4,EVI,23.845
Landsat_7,4,4,NDBI,26.6325
Landsat_7,4,4,NDVI,25.59
Landsat_7,4,5,EVI,23.285
Landsat_7,4,5,NDBI,25.8825
Landsat_7,4,5,NDVI,25.0725
Landsat_7,4,6,EVI,22.7
Landsat_7,4,6,NDBI,25.3175
Landsat_7,4,6,NDVI,24.4725
Landsat_7,4,7,EVI,22.1125
Landsat_7,4,7,NDBI,24.775
Landsat_7,4,7,NDVI,23.89
Landsat_7,4,8,EVI,21.615
Landsat_7,4,8,NDBI,24.1925
Landsat_7,4,8,NDVI,23.23
Landsat_7,4,9,EVI,21.185
Landsat_7,4,9,NDBI,23.6275
Landsat_7,4,9,NDVI,22.74
Landsat_7,4,10,EVI,20.695
Landsat_7,4,10,NDBI,23.065
Landsat_7,4,10,NDVI,22.18
Landsat_7,5,1,EVI,27.552000000000017
Landsat_7,5,1,NDBI,26.92199999999999
Landsat_7,5,1,NDVI,25.84399999999999
Landsat_7,5,2,EVI,25.41799999999999
Landsat_7,5,2,NDBI,25.605999999999995
Landsat_7,5,2,NDVI,24.468000000000004
Landsat_7,5,3,EVI,20.712000000000003
Landsat_7,5,3,NDBI,23.238000000000003
Landsat_7,5,3,NDVI,21.592
Landsat_7,5,4,EVI,19.708
Landsat_7,5,4,NDBI,22.188000000000002
Landsat_7,5,4,NDVI,20.892
Landsat_7,5,5,EVI,19.330000000000002
Landsat_7,5,5,NDBI,21.644000000000005
Landsat_7,5,5,NDVI,20.528000000000002
Landsat_7,5,6,EVI,18.966
Landsat_7,5,6,NDBI,21.208000000000006
Landsat_7,5,6,NDVI,20.189999999999994
Landsat_7,5,7,EVI,18.640000000000004
Landsat_7,5,7,NDBI,20.875999999999998
Landsat_7,5,7,NDVI,19.845999999999993
Landsat_7,5,8,EVI,18.35
Landsat_7,5,8,NDBI,20.544000000000004
Landsat_7,5,8,NDVI,19.410000000000004
Landsat_7,5,9,EVI,18.070000000000004
Landsat_7,5,9,NDBI,20.221999999999998
Landsat_7,5,9,NDVI,19.116
Landsat_7,5,10,EVI,17.748
Landsat_7,5,10,NDBI,19.92
Landsat_7,5,10,NDVI,18.712000000000003
Landsat_8,1,1,EVI,135.31
Landsat_8,1,1,NDBI,125.63
Landsat_8,1,1,NDVI,142.92
Landsat_8,1,2,EVI,110.05
Landsat_8,1,2,NDBI,109.31
Landsat_8,1,2,NDVI,127.74
Landsat_8,1,3,EVI,87.73
Landsat_8,1,3,NDBI,94.68
Landsat_8,1,3,NDVI,114.04
Landsat_8,1,4,EVI,76.74
Landsat_8,1,4,NDBI,85.91
Landsat_8,1,4,NDVI,101.7
Landsat_8,1,5,EVI,68.63
Landsat_8,1,5,NDBI,76.98
Landsat_8,1,5,NDVI,89.13
Landsat_8,1,6,EVI,59.54255319148936
Landsat_8,1,6,NDBI,69.5
Landsat_8,1,6,NDVI,79.40425531914893
Landsat_8,1,7,EVI,48.11363636363637
Landsat_8,1,7,NDBI,56.77272727272727
Landsat_8,1,7,NDVI,66.63636363636364
Landsat_8,1,8,EVI,48.81818181818182
Landsat_8,1,8,NDBI,58.06060606060606
Landsat_8,1,8,NDVI,68.0
Landsat_8,1,9,EVI,54.19607843137255
Landsat_8,1,9,NDBI,67.50980392156863
Landsat_8,1,9,NDVI,75.54901960784314
Landsat_8,1,10,EVI,54.0
Landsat_8,1,10,NDBI,68.06521739130434
Landsat_8,1,10,NDVI,75.54347826086956
Landsat_8,2,1,EVI,72.645
Landsat_8,2,1,NDBI,70.54
Landsat_8,2,1,NDVI,76.395
Landsat_8,2,2,EVI,63.68
Landsat_8,2,2,NDBI,65.01
Landsat_8,2,2,NDVI,71.37
Landsat_8,2,3,EVI,52.465
Landsat_8,2,3,NDBI,59.16
Landsat_8,2,3,NDVI,66.515
Landsat_8,2,4,EVI,49.995
Landsat_8,2,4,NDBI,56.285
Landsat_8,2,4,NDVI,64.74
Landsat_8,2,5,EVI,48.215
Landsat_8,2,5,NDBI,54.405
Landsat_8,2,5,NDVI,62.79
Landsat_8,2,6,EVI,46.62
Landsat_8,2,6,NDBI,52.165
Landsat_8,2,6,NDVI,60.81
Landsat_8,2,7,EVI,45.26
Landsat_8,2,7,NDBI,50.355
Landsat_8,2,7,NDVI,59.055
Landsat_8,2,8,EVI,43.575
Landsat_8,2,8,NDBI,48.57
Landsat_8,2,8,NDVI,56.995
Landsat_8,2,9,EVI,42.095
Landsat_8,2,9,NDBI,46.525
Landsat_8,2,9,NDVI,54.815
Landsat_8,2,10,EVI,39.775
Landsat_8,2,10,NDBI,44.365
Landsat_8,2,10,NDVI,51.945
Landsat_8,3,1,EVI,49.47666666666667
Landsat_8,3,1,NDBI,48.12333333333332
Landsat_8,3,1,NDVI,51.69
Landsat_8,3,2,EVI,43.80333333333333
Landsat_8,3,2,NDBI,45.15666666666666
Landsat_8,3,2,NDVI,48.73
Landsat_8,3,3,EVI,37.77333333333334
Landsat_8,3,3,NDBI,41.70000000000001
