system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000eb0,30,30,26,73,49,198,31,0,31,256,-150,-114,130,-41,59,-30,0,29,4,16,-124,74,28,-96,-25,-29,0,0,-48,-115,-115,105,-26,39,-14,2,2.1633542,336.75,0.09916778,101000.664,0.008614,163.58333,287.82333,2.1113305,"{""type"":""Point"",""coordinates"":[117.07073731512206,33.72549670202194]}"
0000000000000000100f,30,28,25,61,47,197,29,1,29,208,-160,-3,23,-53,12,5,0,21,9,11,80,99,-43,-36,11,-11,-19,-1,-197,-136,-22,23,-47,6,16,2,2.2290697,336.75,0.09916778,101000.664,0.008614,163.58333,287.82333,2.1113305,"{""type"":""Point"",""coordinates"":[117.0971485706616,33.720373194911545]}"
00000000000000000191,38,41,46,64,76,202,66,1,10,-128,-59,-27,32,-21,2,-1,1,10,12,1,-1182,64,-125,33,21,-11,-24,8,3,-52,-39,40,-30,10,-8,0,0.92740995,320.16666,0.08083445,101270.0,0.007870667,163.58333,285.45667,3.1913307,"{""type"":""Point"",""coordinates"":[117.6547324027887,37.532373962582405]}"
00000000000000000397,38,41,48,65,76,206,66,1,11,110,-49,-14,24,-17,-1,0,0,11,13,1,-1139,70,-121,20,25,-19,-27,8,194,-43,-31,33,-27,3,-4,0,2.9825442,320.16666,0.08083445,101270.0,0.007870667,163.58333,285.45667,3.1913307,"{""type"":""Point"",""coordinates"":[117.65096000329748,37.5256407199917]}"
0000000000000000182f,30,27,23,64,42,196,23,0,11,-414,-86,-85,159,2,-26,-32,4,20,1,8,-1004,79,-69,-89,-38,32,10,6,-457,-63,-115,160,-5,-19,-28,5,1.4920752,320.16666,0.08083445,101270.0,0.007870667,163.58333,285.45667,3.1913307,"{""type"":""Point"",""coordinates"":[117.60676139365573,37.508660463180185]}"
00000000000000000ab7,28,24,18,88,43,197,18,0,64,1491,-203,-139,113,-40,49,-3,-8,33,2,19,-959,156,89,-62,29,-37,9,5,1613,-175,-126,111,-25,7,29,-9,1.8543341,333.58334,0.08916778,100621.336,0.008529333,163.58333,287.26666,2.2513306,"{""type"":""Point"",""coordinates"":[114.66280490985706,34.57386297294529]}"
0000000000000000135a,30,29,27,57,48,198,35,1,65,-13,-113,-33,22,-14,2,13,1,19,8,8,-17,90,-2,6,32,-20,10,0,426,-112,-44,43,-17,-15,36,-1,1.4589043,333.58334,0.08916778,100621.336,0.008529333,163.58333,287.26666,2.2513306,"{""type"":""Point"",""coordinates"":[114.64178470749111,34.582219328319454]}"
00000000000000001b5c,29,26,20,79,40,197,19,0,65,726,-194,-90,113,-47,23,15,-3,28,3,15,-714,148,50,-71,52,-15,-20,4,1154,-170,-92,120,-33,-11,45,-6,1.8543341,333.58334,0.08916778,100621.336,0.008529333,163.58333,287.26666,2.2513306,"{""type"":""Point"",""coordinates"":[114.61106150123287,34.566318173962856]}"
000000000000000006d7,51,55,58,65,62,201,54,1,21,-26,-36,-24,21,13,0,-9,0,8,13,-1,-35,44,-1,-35,-12,-10,-23,0,-84,-26,-22,15,11,6,-14,1,1.448626,338.83334,0.12416778,101152.0,0.008720334,163.58333,288.19666,2.4933307,"{""type"":""Point"",""coordinates"":[117.8511959361025,33.57215267589499]}"
00000000000000000eda,30,27,25,61,49,200,30,0,18,159,-115,-45,51,-68,48,-65,0,24,5,14,332,43,2,-69,-3,-27,28,-3,88,-114,-45,34,-78,57,-65,1,1.8543341,338.83334,0.12416778,101152.0,0.008720334,163.58333,288.19666,2.4933307,"{""type"":""Point"",""coordinates"":[117.84634443415635,33.573231778349935]}"
00000000000000001546,34,31,24,78,48,199,27,0,28,1057,-165,-88,115,-160,71,0,-5,25,10,15,-1454,121,51,-63,102,-62,-10,10,787,-146,-73,93,-127,37,10,-4,4.6273675,317.66666,0.07000111,101066.0,0.007199334,163.58333,285.6,1.8046639,"{""type"":""Point"",""coordinates"":[115.42169931814301,38.327387089401256]}"
00000000000000001a86,30,25,20,74,42,196,19,0,22,1119,-149,-68,161,-78,35,-53,-5,30,4,19,-1326,107,31,-116,31,-17,35,8,822,-131,-67,138,-61,6,-27,-4,1.5029808,317.66666,0.07000111,101066.0,0.007199334,163.58333,285.6,1.8046639,"{""type"":""Point"",""coordinates"":[115.43113477597208,38.376972293115585]}"
00000000000000000ab6,34,33,31,68,53,201,37,0,40,1068,-145,-97,129,-71,42,-23,-6,24,7,12,-808,84,81,-100,22,-19,14,5,644,-127,-81,91,-44,23,-14,-3,1.1582394,326.33334,0.05083445,100902.0,0.0075420006,163.58333,286.7,2.1153305,"{""type"":""Point"",""coordinates"":[114.9104678414665,36.80608896030029]}"
0000000000000000120d,35,33,35,53,48,201,38,1,42,663,-90,-22,30,-43,5,-7,-3,12,10,2,-437,26,22,-31,29,-17,9,2,384,-90,-18,19,-36,3,-2,-1,0.0,326.33334,0.05083445,100902.0,0.0075420006,163.58333,286.7,2.1153305,"{""type"":""Point"",""coordinates"":[114.93229960022418,36.833307313130526]}"
0000000000000000166b,32,31,29,63,43,199,22,0,36,522,-186,-102,119,-100,38,5,-1,25,1,14,-585,95,77,-93,30,-7,-12,3,300,-165,-80,82,-66,11,12,0,1.8543341,326.33334,0.05083445,100902.0,0.0075420006,163.58333,286.7,2.1153305,"{""type"":""Point"",""coordinates"":[114.95466645110825,36.857292817697015]}"
00000000000000001ef7,33,32,32,67,53,199,31,0,36,1053,-157,-75,105,-101,58,-27,-6,23,7,11,-738,101,46,-77,53,-21,10,4,761,-139,-62,77,-69,28,-16,-4,1.1596625,326.33334,0.05083445,100902.0,0.0075420006,163.58333,286.7,2.1153305,"{""type"":""Point"",""coordinates"":[114.93876529675171,36.89987277365638]}"
00000000000000000256,39,44,51,71,82,201,68,1,9,194,-34,-18,18,-31,-7,-4,0,10,13,0,-480,43,-110,9,11,-14,-14,3,254,-37,-26,21,-41,0,-3,-1,1.4945344,319.41666,0.07833445,101312.0,0.007837667,163.58333,285.33667,3.282664,"{""type"":""Point"",""coordinates"":[117.65581150524363,37.70808483959343]}"
00000000000000001340,34,32,30,58,52,200,38,1,69,254,-137,-27,49,-38,32,-22,0,17,9,7,-77,73,16,-17,17,-14,11,0,324,-130,-22,41,-34,23,-12,-1,2.9294236,331.66666,0.07750112,100566.664,0.008131,163.58333,287.02667,2.0013306,"{""type"":""Point"",""coordinates"":[114.37848816758832,35.217957824610274]}"
00000000000000001566,30,28,23,86,47,197,23,0,67,689,-178,-127,148,-58,84,-69,-2,26,5,13,-368,107,90,-93,-8,-30,38,1,688,-143,-93,101,-33,57,-54,-3,0.92740995,331.66666,0.07750112,100566.664,0.008131,163.58333,287.02667,2.0013306,"{""type"":""Point"",""coordinates"":[114.34345301061137,35.286949036109185]}"
00000000000000001b0a,35,34,35,55,60,201,43,0,414,462,-76,13,18,-74,39,5,-2,15,23,7,358,106,-15,-16,41,-31,20,-2,570,-85,5,10,-77,37,13,-2,8.310373,308.16666,0.076667786,98473.336,0.0071080006,164.58333,284.11334,3.7873306,"{""type"":""Point"",""coordinates"":[114.38765162025314,38.68742828575965]}"
00000000000000001388,31,30,30,59,46,199,32,1,69,274,-146,-4,44,-54,30,-22,0,18,9,8,-97,71,16,37,51,-13,-8,0,607,-142,-16,61,-51,12,1,-3,1.8543341,332.58334,0.08500112,100568.664,0.008420001,164.58333,287.17667,2.1506639,"{""type"":""Point"",""coordinates"":[114.77814847680654,34.81856506145523]}"
00000000000000000ec4,31,29,29,55,49,199,27,0,23,42,-168,-71,100,-49,87,-118,1,26,4,15,88,39,-3,-87,-41,-30,42,-1,-167,-137,-65,68,-38,75,-97,3,1.4495828,337.75,0.11166778,101112.664,0.008624667,164.58333,288.11,2.3153305,"{""type"":""Point"",""coordinates"":[117.4685114245947,33.668634245388404]}"
00000000000000001003,30,27,27,60,53,199,35,1,27,375,-147,-15,43,-67,14,-13,-1,21,11,10,-333,70,-29,-36,4,-6,-27,2,149,-135,-16,25,-62,22,-19,0,1.1140566,337.75,0.11166778,101112.664,0.008624667,164.58333,288.11,2.3153305,"{""type"":""Point"",""coordinates"":[117.48791743237932,33.650846891286214]}"
000000000000000001b2,38,34,32,62,52,201,35,1,39,354,-133,-3,23,-14,-22,1,-1,17,11,6,160,39,-21,-52,22,-36,2,-1,586,-116,-8,5,-23,-24,14,-3,0.0,332.5,0.08416778,100960.0,0.008363667,164.58333,287.25333,2.3113306,"{""type"":""Point"",""coordinates"":[116.40239387192841,35.07027239772015]}"
00000000000000001eab,28,24,21,70,38,197,18,0,126,762,-190,35,14,-35,5,-20,-3,31,-2,18,-919,84,7,-8,-13,-23,17,5,645,-191,39,-9,-41,7,-8,-2,2.4439838,334.66666,0.06583445,99722.664,0.008152334,164.58333,288.11334,2.166664,"{""type"":""Point"",""coordinates"":[112.77768872580545,34.9363343793778]}"
00000000000000001c75,29,24,21,31,28,181,17,0,298,407,-208,23,-1,-78,66,-11,-1,14,8,7,-533,-10,-118,-79,66,-60,17,2,422,-224,4,-7,-87,53,-1,-1,18.495995,293.91666,0.08250111,96568.0,0.005687667,164.58333,281.89667,0.8239972,"{""type"":""Point"",""coordinates"":[118.01127320482013,40.66363498613105]}"
00000000000000000afa,30,28,21,67,46,199,23,0,58,-69,-170,-65,121,-139,123,-85,2,31,2,18,94,90,48,-155,2,-67,63,-1,-351,-153,-54,94,-106,83,-56,4,1.141433,329.66666,0.06250112,100660.664,0.008014001,164.58333,286.8333,1.8426639,"{""type"":""Point"",""coordinates"":[114.82099597882912,35.66316339198842]}"
000000000000000016f9,36,35,37,60,62,203,47,0,215,416,-79,-2,36,-113,34,9,-1,17,17,7,-231,134,-4,20,42,-54,5,1,424,-78,-3,26,-101,18,17,-1,30.172695,307.83334,0.07083445,97730.0,0.006668334,164.58333,284.09332,1.8179972,"{""type"":""Point"",""coordinates"":[115.16136808044074,38.93051617968825]}"
000000000000000011a6,36,34,34,60,47,200,34,1,58,316,-102,-29,30,-38,13,-13,-1,13,5,3,-570,60,-9,-26,27,12,-21,3,231,-96,-28,30,-29,7,-6,0,1.4806157,328.16666,0.05583445,100669.336,0.007613334,164.58333,287.11,1.8559972,"{""type"":""Point"",""coordinates"":[114.58923420157626,36.54953012208923]}"
000000000000000019da,32,33,36,70,72,200,48,0,293,425,-113,17,23,-98,55,-15,-1,18,17,8,141,54,-72,-38,33,-76,-16,0,190,-97,-7,26,-84,41,-7,0,7.310343,312.83334,0.07916778,95987.336,0.0071336674,164.58333,284.11667,2.2173307,"{""type"":""Point"",""coordinates"":[118.47803852579167,36.15202355867981]}"
00000000000000001e70,30,26,24,56,42,197,24,0,204,345,-189,18,33,-122,90,-41,-1,19,9,11,159,30,-72,-53,72,-63,-41,-1,-114,-171,-3,30,-111,73,-11,2,14.30474,321.33334,0.07916778,98834.0,0.007627,164.58333,285.46332,1.994664,"{""type"":""Point"",""coordinates"":[118.43869141809607,35.83806271260774]}"
00000000000000001f2e,29,25,23,61,48,197,29,0,247,-17,-202,19,42,-147,127,-36,1,23,9,13,100,64,-68,-66,66,-98,-34,-1,-254,-182,3,32,-122,101,-16,3,9.12836,321.33334,0.07916778,98834.0,0.007627,164.58333,285.46332,1.994664,"{""type"":""Point"",""coordinates"":[118.42332981496696,35.896543822923675]}"
0000000000000000170b,30,28,25,66,48,197,29,0,199,1062,-79,-12,77,-84,67,-90,-5,23,3,10,-180,49,-26,-73,-9,-54,4,0,865,-66,-35,71,-71,42,-64,-4,9.756469,317.91666,0.087501116,98554.664,0.007882334,164.58333,284.55667,2.7699974,"{""type"":""Point"",""coordinates"":[119.00328495707917,35.610340880909305]}"
00000000000000000133,39,43,50,68,75,201,64,1,6,309,-38,-16,17,-27,0,5,-1,9,12,0,-476,61,-82,-8,-1,-12,-21,3,250,-39,-26,21,-36,6,4,-1,2.988987,319.25,0.07833445,101310.0,0.007874668,164.58333,285.37665,3.3993306,"{""type"":""Point"",""coordinates"":[117.71213441064971,37.78677905498465]}"
000000000000000004de,40,44,52,69,78,201,68,1,5,257,-37,-22,13,-24,1,7,-1,9,12,0,-454,71,-89,-9,-4,-13,-13,3,210,-37,-30,17,-33,5,6,0,1.4954627,319.25,0.07833445,101310.0,0.007874668,164.58333,285.37665,3.3993306,"{""type"":""Point"",""coordinates"":[117.72237696576946,37.782734650329175]}"
00000000000000000840,37,39,44,61,67,202,57,1,21,139,-63,-17,15,-32,20,-18,0,12,16,3,-612,34,-26,17,16,-32,12,4,171,-66,-23,25,-43,13,-12,0,1.5031595,317.66666,0.06916778,101162.0,0.0072326674,164.58333,285.67667,1.9233305,"{""type"":""Point"",""coordinates"":[115.74024412009803,38.3907152425623]}"
00000000000000000829,35,36,39,62,65,201,53,1,19,482,-87,-1,17,-50,23,-21,-2,15,16,6,-650,57,-8,13,21,-26,0,4,447,-89,-9,28,-62,11,-12,-2,2.5383787,317.91666,0.06916778,101184.0,0.0072483337,164.58333,285.72,1.9759972,"{""type"":""Point"",""coordinates"":[115.81138907740576,38.32900128398261]}"
00000000000000001a7f,30,27,23,79,45,197,24,0,18,1008,-149,-34,157,-90,17,-77,-5,33,4,21,-694,119,44,-113,7,-8,39,4,825,-129,-37,139,-86,-14,-40,-3,0.0,317.91666,0.06916778,101184.0,0.0072483337,164.58333,285.72,1.9759972,"{""type"":""Point"",""coordinates"":[115.85019663387389,38.3155258805991]}"
00000000000000000938,33,32,30,56,48,200,33,1,79,425,-123,0,25,-38,15,-8,-1,15,11,6,-473,61,-7,10,23,-21,15,2,564,-128,-7,27,-40,3,6,-2,2.1700206,333.08334,0.08666778,100484.664,0.008356,164.58333,287.32666,2.432664,"{""type"":""Point"",""coordinates"":[114.19226718939429,34.69513714429585]}"
0000000000000000143d,36,35,38,60,62,200,49,1,78,145,-84,-29,35,-11,16,-17,0,14,11,4,128,33,24,4,8,-24,20,-1,175,-81,-27,32,-8,2,-4,0,0.0,333.08334,0.08666778,100484.664,0.008356,164.58333,287.32666,2.432664,"{""type"":""Point"",""coordinates"":[114.18041043969319,34.61294253457769]}"
00000000000000001559,30,27,25,63,41,199,23,0,75,676,-160,-25,47,-24,36,-52,-3,21,5,10,-571,85,24,-5,0,-26,50,3,890,-151,-27,42,-21,14,-25,-4,1.1276883,333.08334,0.08666778,100484.664,0.008356,164.58333,287.32666,2.432664,"{""type"":""Point"",""coordinates"":[114.16882123605527,34.677889341421135]}"
0000000000000000053d,30,27,25,54,44,195,31,1,6,714,-77,-40,8,-61,30,-12,-3,22,8,11,-358,67,13,-6,33,-21,0,1,733,-67,-55,3,-51,24,-11,-3,0.92740995,347.91666,0.14083445,101376.0,0.010035334,164.58333,288.90665,3.1579974,"{""type"":""Point"",""coordinates"":[121.31662645169742,31.896703423376405]}"
00000000000000000398,34,33,34,58,56,199,44,1,63,87,-104,-21,25,-46,20,-9,0,16,12,8,826,45,-18,-8,37,-7,18,-6,351,-100,-33,36,-50,13,1,-1,1.4640077,332.0,0.07750112,100592.664,0.008390667,164.58333,287.07666,1.9059973,"{""type"":""Point"",""coordinates"":[114.98808295440278,35.06380670119266]}"
000000000000000016a0,32,30,26,67,43,200,25,0,37,458,-175,-104,167,-43,35,-29,-1,28,3,15,-425,101,72,-136,5,-2,23,2,220,-141,-83,128,-19,8,-17,0,3.5990362,326.25,0.05000112,100908.0,0.007511334,164.58333,286.83667,2.0193305,"{""type"":""Point"",""coordinates"":[114.81048587764617,36.964012483209146]}"
