system:index,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Landsat_B1,Landsat_B10,Landsat_B11,Landsat_B2,Landsat_B3,Landsat_B4,Landsat_B5,Landsat_B6,Landsat_B7,Landsat_B8,Landsat_B9,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,Sentinel_B1,Sentinel_B10,Sentinel_B11,Sentinel_B12,Sentinel_B2,Sentinel_B3,Sentinel_B4,Sentinel_B5,Sentinel_B6,Sentinel_B7,Sentinel_B8,Sentinel_B8A,Sentinel_B9,lrad,prec,pres,shum,split,srad,temp,wind,.geo
00000000000000001dc2,1,66,325,-123,-40,49,0,42,-70,0,44,204,201,40,38,39,67,60,51,38,0,26,-10,10,551,4,-17,3,-15,16,53,-2,518,-78,-40,47,-2,31,-40,-1,2.269798,1742.0,16.5,1962.5,1615.0,1553.0,1383.5,1405.5,1461.0,1959.5,2275.0,2123.5,2440.0,637.5,342.5,0.076667786,100512.664,0.007998333,0.4824818260330256,149.16667,288.64334,2.556664,"{""type"":""Point"",""coordinates"":[114.66037915888398,35.23241868932661]}"
00000000000000000fed,0,75,2056,-131,-62,174,37,131,-189,-5,37,198,195,31,27,20,85,44,24,23,0,54,-18,21,-1166,45,1,-114,-63,-50,132,3,1446,-80,-40,102,5,64,-117,-3,2.4489486,1751.0,16.0,1887.0,1081.5,1480.0,1279.0,1051.0,1429.5,2501.0,3155.0,3050.5,3264.0,661.0,346.5,0.076667786,100435.336,0.008018333,0.7916883020764428,148.58333,289.44666,2.1359973,"{""type"":""Point"",""coordinates"":[113.91953965076344,35.130282979697434]}"
00000000000000001240,0,79,2957,-145,-60,156,8,116,-198,-8,35,198,197,29,25,18,86,44,23,23,0,54,-18,21,-605,41,12,-114,-58,-35,132,1,1728,-84,-42,91,-5,53,-120,-4,3.0019681,1723.0,16.0,2195.5,1290.0,1464.0,1273.0,1121.0,1452.0,2502.5,2962.5,2894.0,3142.0,639.0,346.5,0.076667786,100435.336,0.008018333,0.860929298822674,148.58333,289.44666,2.1359973,"{""type"":""Point"",""coordinates"":[113.90031646612202,35.132436725506246]}"
00000000000000001239,0,690,1048,-240,35,19,-130,27,3,-2,34,202,200,28,25,23,77,58,36,23,0,35,-8,18,0,114,-12,4,56,-61,-30,0,1250,-188,8,36,-120,-8,0,-3,8.313756,1317.3333333333333,17.0,2362.5,1400.0,1021.0,970.0,878.0,1249.0,2114.0,2396.0,2292.0,2723.0,946.0,316.75,0.076667786,93514.0,0.0066166674,0.2509032530712023,150.25,284.83667,2.7099972,"{""type"":""Point"",""coordinates"":[113.90840081633192,37.03165704618991]}"
00000000000000000fb0,0,355,55,-185,20,51,-163,135,-43,0,39,208,205,35,37,45,69,71,64,40,0,24,-8,11,629,67,-53,-22,50,-92,21,-2,52,-138,-4,45,-133,82,-26,0,2.7802885,1554.0,17.0,2499.0,2130.0,1312.0,1173.0,1321.0,1488.0,2475.0,2690.0,2582.0,2777.0,715.0,318.75,0.076667786,93545.336,0.0064050006,0.6871337725449281,148.33333,285.03,2.5313306,"{""type"":""Point"",""coordinates"":[113.99463537160452,36.59812986447074]}"
00000000000000000b83,0,79,2419,-118,-66,156,63,68,-142,-6,35,198,196,29,26,20,72,39,24,22,0,54,-18,21,-536,38,25,-115,-79,-7,104,0,1514,-62,-51,92,19,30,-92,-4,1.8543341,1749.0,17.0,1661.0,889.0,1442.0,1330.0,1092.0,1466.0,2375.0,3292.0,3114.0,3463.0,638.0,346.75,0.076667786,100430.664,0.008046,0.7765445761083485,148.66667,289.46332,2.1119971,"{""type"":""Point"",""coordinates"":[113.92627735245519,35.01215247458954]}"
00000000000000001dd3,1,80,-112,-59,-15,36,8,12,-35,1,49,204,201,46,41,43,57,57,49,41,0,18,-6,7,406,-10,-21,0,-16,0,19,-1,105,-40,-18,19,3,0,-18,0,0.0,1958.0,15.0,1776.0,1476.0,1677.0,1494.0,1567.0,1594.0,1773.0,1956.0,1706.0,2060.0,514.0,346.75,0.076667786,100430.664,0.008046,0.5880701680352919,148.66667,289.46332,2.1119971,"{""type"":""Point"",""coordinates"":[113.96328789119879,35.05536116379743]}"
00000000000000000aa9,0,653,453,-361,65,17,-40,-28,75,0,32,187,186,25,17,12,22,20,11,15,1,34,-14,15,-378,78,-88,-29,63,26,-66,0,841,-302,-9,42,-21,-55,77,-2,16.876234,1144.3333333333333,18.0,1328.0,618.8,838.75,633.75,425.7142857142857,726.1111111111111,1210.0,1288.0,1361.0,1562.0,579.0,295.0,0.076667786,93522.664,0.0055923336,0.7287578871234734,155.0,281.62668,2.0439973,"{""type"":""Point"",""coordinates"":[117.39089631165844,40.474988256963975]}"
000000000000000010c8,0,408,-1380,-182,28,30,-149,125,-61,5,42,207,204,39,41,48,73,75,65,42,0,28,-7,13,401,69,-12,-5,53,-106,38,-1,-1178,-117,0,44,-116,72,-43,4,2.4964883,1580.2,18.0,2314.5,1895.0,1355.0,1229.25,1347.0,1507.0,2345.25,2729.0,2635.6666666666665,2906.0,884.0,329.0,0.076667786,97278.0,0.0070530004,0.8346405261453661,147.0,286.83334,2.774664,"{""type"":""Point"",""coordinates"":[114.1476226696472,36.89565000495876]}"
00000000000000000360,1,60,-45,-82,15,15,-1,16,-17,0,45,204,200,41,37,39,51,49,40,36,0,13,-7,5,-681,65,-6,-23,-3,-7,-2,2,-617,-31,-4,6,8,-3,-4,2,2.172758,1788.0,19.0,1588.0,1261.0,1447.0,1234.0,1260.0,1396.0,1536.0,1556.0,1392.0,1503.0,699.0,337.0,0.076667786,100778.0,0.008247334,0.46950101673382316,164.16667,288.25665,1.7139972,"{""type"":""Point"",""coordinates"":[117.13164417641107,35.07763883266044]}"
000000000000000003fd,1,72,1139,-103,2,9,-33,11,-18,-3,47,203,200,44,42,44,62,59,51,46,0,17,-7,7,-1522,18,-30,-15,-5,14,12,5,-19,-55,-20,7,-22,3,0,0,1.1329604,1894.5,20.5,2046.0,1853.5,1723.5,1547.0,1740.0,1790.0,1911.0,2062.0,1961.5,2108.5,824.0,337.0,0.076667786,100778.0,0.008247334,0.7848856997816913,164.16667,288.25665,1.7139972,"{""type"":""Point"",""coordinates"":[117.19317977094863,35.061291768198515]}"
000000000000000003e9,1,117,552,-119,23,4,-58,36,-26,-1,43,204,201,38,38,44,64,67,58,41,0,19,-5,9,-66,0,-11,0,50,18,44,0,431,-75,0,4,-26,14,0,0,1.4669819,1746.5,20.0,2383.0,2074.5,1619.5,1508.5,1741.0,1768.5,1990.0,2166.5,2151.0,2228.5,878.0,329.25,0.076667786,99740.0,0.008040333,0.3354334616021831,167.33333,287.06,1.9906639,"{""type"":""Point"",""coordinates"":[118.8373662659815,35.33878162675445]}"
00000000000000000ee0,0,135,-2263,-116,69,27,0,-4,-99,8,42,196,194,36,31,27,32,14,9,30,0,13,-12,5,-493,-6,-11,-18,69,-25,58,0,-2002,-81,43,30,15,-13,-64,7,2.1820233,1613.0,12.0,244.0,167.0,1367.0,1099.0,721.0,646.0,552.0,537.0,457.0,464.0,187.0,335.25,0.076667786,98706.0,0.0071810004,0.30928495033678316,145.66667,287.74332,2.6593306,"{""type"":""Point"",""coordinates"":[114.13144951012636,36.31336275299558]}"
000000000000000001a8,1,199,1076,-118,25,8,-75,60,-42,-2,48,203,201,46,45,49,72,62,62,47,1,25,-9,11,-647,4,5,4,62,-9,6,1,488,-54,-1,12,-31,27,-17,-1,5.739471,1692.0,21.5,1953.5,1853.0,1699.5,1633.0,1804.5,1797.0,2108.0,2192.0,2341.0,2323.5,1102.5,329.5,0.076667786,100150.664,0.008151667,0.4709003445279447,166.91667,287.05,2.2959971,"{""type"":""Point"",""coordinates"":[119.13434685524204,35.416931831817145]}"
000000000000000003e1,1,94,937,-183,31,16,-93,55,-38,-2,37,202,200,32,32,35,73,67,50,35,1,33,-7,15,-181,73,4,-4,75,-3,13,0,197,-97,3,13,-27,8,-4,0,4.764105,1580.0,20.0,2630.0,1868.0,1350.0,1267.0,1274.0,1590.0,1960.0,2109.0,2081.0,2274.0,954.0,329.5,0.076667786,100150.664,0.008151667,0.8957840616688958,166.91667,287.05,2.2959971,"{""type"":""Point"",""coordinates"":[119.17189694521312,35.432204252925196]}"
000000000000000000db,1,40,-18,-148,-42,62,-43,54,-65,1,37,203,201,32,31,32,70,62,48,28,0,29,-11,12,-623,100,7,-54,-44,-7,0,1,-991,-65,-44,18,-26,7,-11,4,2.1714354,1723.0,15.0,2317.5,1811.5,1524.5,1420.0,1454.0,1641.5,2132.5,2348.0,2240.5,2487.5,750.0,337.5,0.076667786,101070.664,0.008115667,0.7186743237391126,162.16667,288.21332,1.6193305,"{""type"":""Point"",""coordinates"":[116.69488414642815,34.89393278746057]}"
00000000000000001377,0,142,443,-164,-69,101,-29,25,-16,0,32,198,196,27,23,19,76,35,17,20,0,40,-17,15,-568,109,33,-50,-6,-13,-3,1,375,-84,-63,68,-20,-14,4,0,1.8543341,1661.0,15.0,1936.0,1347.0,1317.0,1148.0,1137.0,1343.0,1956.0,2210.0,2120.0,2423.0,825.0,335.75,0.076667786,96653.336,0.007905001,0.628656274361184,153.91667,287.88,2.088664,"{""type"":""Point"",""coordinates"":[112.66854330932024,35.127496041539025]}"
00000000000000001293,0,678,71,-211,31,34,-32,-35,30,0,36,184,183,30,22,17,27,16,11,19,1,25,-16,9,-1729,63,31,-28,59,-1,-15,5,429,-129,-8,41,-42,-61,44,0,47.495956,1348.0,14.0,362.5,186.5,995.0,676.5,468.0,504.0,621.5,667.0,609.0,597.0,329.0,318.16666,0.076667786,91498.0,0.006874667,0.30480135755987126,154.5,284.87668,2.040664,"{""type"":""Point"",""coordinates"":[112.79889175131457,35.23466607625754]}"
00000000000000001343,0,128,-1584,-182,73,28,-116,123,-111,6,41,203,199,38,41,49,91,74,56,42,0,34,-9,16,935,22,-56,-14,69,-13,118,-3,-2585,-100,18,23,-51,68,-28,9,3.7047918,1687.0,22.0,2736.0,2053.5,1483.5,1392.5,1542.5,1694.0,2189.5,2411.0,2445.0,2614.0,1010.5,332.16666,0.076667786,100334.0,0.007969667,0.625958951389274,166.66667,287.65332,1.770664,"{""type"":""Point"",""coordinates"":[118.56706447832372,35.32270210835572]}"
00000000000000000226,1,32,-1,-128,-16,58,-30,58,-55,0,45,202,200,42,40,43,74,70,61,42,0,25,-8,11,-1039,33,-11,22,8,11,-7,3,339,-77,-10,36,-16,12,-32,0,0.92740995,1924.0,19.0,2545.0,2129.0,1733.0,1571.0,1692.0,1810.0,2130.0,2422.0,2338.0,2600.0,718.0,338.16666,0.076667786,101266.0,0.0083323335,0.6214053768779887,157.33333,288.59665,2.934664,"{""type"":""Point"",""coordinates"":[116.4387756774235,36.51808900056139]}"
0000000000000000031a,1,31,580,-150,-4,36,-44,28,-58,-1,45,202,200,41,38,39,76,60,48,40,0,29,-11,12,-842,55,-9,22,18,13,-6,2,266,-91,-16,38,-25,0,-21,0,1.1536825,1940.0,18.0,2282.0,1734.0,1694.0,1553.0,1581.0,1729.0,2230.0,2552.0,2521.0,2590.0,786.0,338.16666,0.076667786,101266.0,0.0083323335,0.3378959655737094,157.33333,288.59665,2.934664,"{""type"":""Point"",""coordinates"":[116.41658719058154,36.50245985136906]}"
00000000000000000fef,0,36,-383,-194,-40,164,-36,64,-104,2,36,200,198,31,25,23,80,43,21,31,0,43,-14,20,333,71,21,-94,-7,-15,48,-1,-217,-125,-36,123,-18,28,-51,1,2.181963,1798.0,14.0,2009.0,1213.0,1591.0,1348.0,1265.0,1504.0,2316.0,2829.0,2681.0,2954.0,860.0,338.16666,0.076667786,101154.0,0.008544667,0.6801849971233473,156.58333,288.32666,2.9559972,"{""type"":""Point"",""coordinates"":[116.2639610797242,36.30545676682782]}"
00000000000000000aad,0,142,887,-176,-53,63,-100,36,2,-1,40,202,200,35,35,34,86,70,49,36,0,33,-9,15,-1743,47,25,-32,71,39,58,5,-128,-95,-53,38,-33,-5,32,1,3.5306392,1944.5,16.0,2382.25,1650.5,1636.875,1515.0,1604.0,1824.0,2441.4,2871.6666666666665,2693.75,3032.0,900.5,332.41666,0.076667786,99700.664,0.007933,0.7162405938140999,166.08333,287.78665,1.8219973,"{""type"":""Point"",""coordinates"":[118.14180001085658,35.34650478977902]}"
00000000000000000412,1,23,-300,-143,-8,42,-31,14,-48,1,42,203,201,38,34,36,66,55,43,31,0,24,-8,10,-580,111,-12,-17,14,21,20,1,119,-90,-10,35,-22,6,-15,0,2.1861367,1793.5,17.5,1977.5,1649.5,1474.5,1248.0,1307.0,1440.5,1821.0,1995.0,1965.0,2079.0,747.0,336.41666,0.076667786,101465.336,0.0075030006,0.9052595312163791,159.66667,288.86667,1.9766638,"{""type"":""Point"",""coordinates"":[117.38398024592449,36.83447559760653]}"
00000000000000000cc4,0,19,-1457,-198,-7,60,-72,37,-42,6,41,195,193,34,28,23,60,28,15,26,0,32,-11,14,641,185,-1,-27,63,11,13,-2,-962,-117,-13,35,-54,18,-4,4,2.186161,1629.5,16.0,1558.0,910.5,1365.0,1109.0,951.0,1151.0,1622.0,1760.5,1745.0,1918.0,660.0,336.41666,0.076667786,101465.336,0.0075030006,0.6155904460193522,159.66667,288.86667,1.9766638,"{""type"":""Point"",""coordinates"":[117.36619289182232,36.83753008182814]}"
000000000000000010b1,0,18,44,-96,-10,161,14,29,-138,1,40,204,200,37,33,29,72,56,35,31,0,49,-18,19,437,103,-31,-91,-49,4,103,-2,-183,-29,-13,78,22,29,-63,1,0.92740995,1654.0,18.0,1798.5,1174.0,1391.5,1209.0,1094.0,1389.5,2409.5,2847.5,2786.5,3089.5,1053.0,336.41666,0.076667786,101465.336,0.0075030006,0.3147789758550358,159.66667,288.86667,1.9766638,"{""type"":""Point"",""coordinates"":[117.37185595016018,36.896367920228364]}"
00000000000000001f12,1,68,-389,-122,-10,19,-3,37,-33,2,45,204,201,41,38,39,64,57,48,43,0,23,-10,10,814,10,4,26,20,37,14,-3,232,-83,-14,32,-20,16,-25,0,0.92740995,1813.0,17.0,2087.5,1766.0,1590.5,1463.0,1718.0,1643.0,2063.0,2291.5,2162.5,2332.0,555.0,342.41666,0.076667786,100526.664,0.008134333,0.7604623858102343,150.08333,288.59665,2.4893305,"{""type"":""Point"",""coordinates"":[114.72074646894555,35.12623857504195]}"
00000000000000001028,0,716,362,-209,-6,67,-56,-4,18,0,33,196,193,27,22,20,44,39,22,21,0,30,-12,11,-441,163,-9,-10,69,48,-21,1,378,-121,-30,64,-13,-18,20,0,17.857746,1284.0,24.0,1739.5,1191.5,974.0,851.0,762.5,1023.5,1436.0,1559.0,1425.5,1711.5,875.0,322.66666,0.076667786,92861.336,0.0070140003,0.9304909477801002,151.5,285.25,2.148664,"{""type"":""Point"",""coordinates"":[111.72765069153792,34.848748716486014]}"
000000000000000004b7,1,24,685,-106,-6,31,-25,17,-37,-1,46,205,201,44,42,46,69,64,54,43,0,18,-7,7,-20,82,-12,-17,2,22,2,0,534,-59,-4,15,-11,12,-17,-1,2.4932122,1943.0,18.0,2429.0,2092.0,1734.0,1635.0,1816.0,1959.0,2184.0,2379.0,2201.0,2328.0,751.0,336.66666,0.076667786,101428.0,0.0071690003,0.989397057324965,160.16667,289.18665,1.9213306,"{""type"":""Point"",""coordinates"":[117.1542830324594,36.77895978949113]}"
000000000000000009ab,1,163,993,-87,40,-6,15,31,-66,-2,40,205,202,37,36,37,67,56,41,33,0,31,-11,11,-1396,15,2,7,24,-28,3,4,96,-53,6,14,44,8,-51,0,2.8807824,1520.0,20.0,1848.0,1457.0,1202.5,1106.0,1071.5,1264.0,1984.0,2198.0,2177.5,2047.0,846.0,348.66666,0.076667786,99278.0,0.008959667,0.6992443552213695,141.5,288.49335,2.0439973,"{""type"":""Point"",""coordinates"":[111.73097272182272,32.81729821316346]}"
00000000000000000f57,0,177,1773,-36,8,30,111,70,-179,-4,37,197,194,31,25,20,79,42,25,22,0,43,-16,15,-1776,-18,47,-15,-65,-45,90,5,-206,-28,-16,35,109,29,-141,1,1.441289,1764.0,20.0,2734.0,2135.0,1507.0,1406.0,1484.0,1735.0,2174.0,2471.0,2303.0,2633.0,890.0,348.66666,0.076667786,99278.0,0.008959667,0.9773325747510032,141.5,288.49335,2.0439973,"{""type"":""Point"",""coordinates"":[111.74561640968223,32.81577320060318]}"
00000000000000000c08,0,435,-352,-148,5,15,-67,20,8,1,35,203,201,30,29,29,53,56,42,27,0,19,-5,10,544,59,11,-7,37,-24,0,-2,280,-117,-9,20,-65,3,13,0,22.26901,1338.3333333333333,13.0,1445.0,826.8333333333333,1020.5,876.8,689.5,909.0,1515.4,1661.8333333333335,1451.6666666666667,1699.0,606.875,322.91666,0.076667786,95914.664,0.007428,0.9985001031980405,155.16667,286.58667,3.3733306,"{""type"":""Point"",""coordinates"":[113.81677074878466,38.23494992456333]}"
000000000000000002b6,1,49,128,-141,-26,26,-21,45,-67,0,38,197,195,33,31,31,53,49,37,25,0,29,-11,12,244,45,-22,1,-17,28,3,-1,223,-85,-39,38,-31,27,-31,0,0.0,1828.0,16.0,2077.0,1707.0,1579.0,1407.0,1451.0,1516.0,1860.0,2033.0,2099.0,2044.0,771.0,338.91666,0.076667786,100924.664,0.008540333,0.2613095740761191,156.75,288.00333,2.2433307,"{""type"":""Point"",""coordinates"":[115.76575463722482,35.07988621959139]}"
00000000000000001130,0,48,1184,-170,-25,147,-16,103,-146,-2,34,197,195,28,23,17,84,40,18,21,0,49,-19,19,-254,91,13,-102,-47,-1,61,0,636,-101,-45,127,-18,62,-69,-1,1.1334425,1773.0,17.0,2187.0,1567.0,1543.0,1399.0,1450.0,1530.0,2381.0,2773.0,2629.0,2989.0,1078.0,338.91666,0.076667786,100924.664,0.008540333,0.4856158673495582,156.75,288.00333,2.2433307,"{""type"":""Point"",""coordinates"":[115.75919975867622,35.09623328405332]}"
00000000000000000057,1,69,1157,-154,-15,33,-44,29,-42,-3,44,203,200,39,35,35,65,57,47,37,0,27,-10,11,12,-1,-22,11,31,30,30,0,803,-95,-27,32,-21,8,-20,-2,1.134026,1781.0,15.5,2215.0,1707.0,1526.5,1246.5,1198.5,1383.5,1727.5,2080.0,1905.0,2241.5,573.5,342.91666,0.076667786,100542.0,0.008069334,0.3510983399721286,149.41667,288.71332,2.494664,"{""type"":""Point"",""coordinates"":[114.60638836332888,35.138095324743055]}"
00000000000000000b01,0,62,173,-91,5,83,-20,23,-78,0,45,202,199,40,35,33,74,47,33,26,0,38,-13,14,76,26,-14,-46,-4,39,50,0,-49,-43,-7,85,-11,1,-56,0,1.4648564,1793.0,18.5,1744.5,1143.0,1436.0,1242.0,1065.5,1410.0,2255.0,2748.0,2587.5,2884.0,740.0,342.91666,0.076667786,100542.0,0.008069334,0.49498938009382365,149.41667,288.71332,2.494664,"{""type"":""Point"",""coordinates"":[114.68813706294168,35.142679280626005]}"
00000000000000001d95,1,68,462,-128,-23,32,-26,30,-50,0,46,198,195,41,32,30,50,42,33,33,0,28,-8,10,675,0,-13,15,20,18,38,-2,547,-70,-46,48,-8,1,-15,-1,0.92740995,1806.5,15.0,2050.0,1674.0,1573.5,1335.0,1308.5,1290.0,1834.0,2237.5,1855.5,2297.5,634.0,342.91666,0.076667786,100542.0,0.008069334,0.8471300826289605,149.41667,288.71332,2.494664,"{""type"":""Point"",""coordinates"":[114.65795340791091,35.13926360921907]}"
0000000000000000134f,0,143,-247,-199,15,65,-118,133,-61,2,40,204,200,38,41,44,87,89,70,42,1,32,-8,15,-2043,103,-36,-19,88,-26,112,6,-1635,-121,-20,55,-57,79,-5,6,2.9345155,1672.0,17.5,3006.5,2290.0,1475.5,1413.0,1620.5,1771.0,2172.0,2404.0,2423.5,2661.0,852.0,331.16666,0.076667786,98902.664,0.008008,0.6381666638776962,165.91667,287.54333,2.106664,"{""type"":""Point"",""coordinates"":[117.91282071266109,35.452328175979396]}"
00000000000000000ad6,0,79,2346,-173,13,96,-23,38,-126,-6,35,199,196,29,25,21,83,39,21,23,0,43,-16,17,-1562,91,-3,-57,-5,-8,114,4,1279,-114,0,81,-4,3,-80,-3,2.2581341,1736.0,17.0,2133.0,1473.0,1441.0,1331.0,1341.0,1442.0,2315.0,2731.0,2552.0,2929.0,571.0,347.16666,0.076667786,100448.0,0.008103,0.33679075621144205,148.66667,289.48666,2.0719972,"{""type"":""Point"",""coordinates"":[113.98511519085542,34.81093108045174]}"
00000000000000000e91,0,80,1785,-206,-9,46,-9,13,-155,-4,43,202,199,38,36,37,73,55,38,35,0,42,-16,18,-881,51,0,-29,-19,21,131,2,518,-134,-11,46,7,-9,-100,0,1.4613628,1758.0,22.0,1884.0,1425.0,1480.0,1390.0,1411.0,1600.0,2308.0,2571.0,2476.0,2812.0,563.0,347.16666,0.076667786,100448.0,0.008103,0.3303678606105117,148.66667,289.48666,2.0719972,"{""type"":""Point"",""coordinates"":[113.97379799238178,34.815960946440036]}"
00000000000000000eeb,0,82,1746,-176,-13,120,0,94,-156,-4,35,198,196,29,26,20,82,42,18,23,0,47,-15,18,-720,50,28,-90,-41,-26,132,1,593,-103,-6,86,0,44,-98,0,0.0,1730.0,19.0,1893.0,1268.0,1439.0,1366.0,1334.0,1553.0,2324.0,2657.0,2560.0,2831.0,712.0,347.16666,0.076667786,100448.0,0.008103,0.9453843480455685,148.66667,289.48666,2.0719972,"{""type"":""Point"",""coordinates"":[113.95035203904276,34.83680278476383]}"
