idx,Year,Base,Built,Percent,Lon
2800,2008_2010,5909,86,0.014554070062616348,110.62467526988614
2800,2011_2013,5909,83,0.014046369944152986,110.63055972716627
2800,2014_2016,5909,89,0.015061770181079709,110.6364441844464
2800,2017_2019,5909,115,0.019461837874428838,110.64232864172654
3000,1990_1992,6339,29,0.004574854077930273,110.64821309900667
3000,1993_1995,6339,52,0.008203186622495662,110.6540975562868
3000,1996_1998,6339,64,0.01009622968922543,110.65998201356693
3000,1999_2001,6339,98,0.01545985171162644,110.66586647084706
3000,2002_2004,6339,102,0.01609086606720303,110.6717509281272
3000,2005_2007,6339,114,0.017983909133932798,110.67763538540733
3000,2008_2010,6339,138,0.021769995267392334,110.68351984268747
3000,2011_2013,6339,148,0.023347531156333808,110.6894042999676
3000,2014_2016,6339,196,0.03091970342325288,110.69528875724774
3000,2017_2019,6339,245,0.0386496292790661,110.70117321452787
3200,1990_1992,6477,122,0.01883588080901652,110.707057671808
3200,1993_1995,6477,124,0.019144665740311873,110.71294212908813
3200,1996_1998,6477,140,0.021614945190674695,110.71882658636827
3200,1999_2001,6477,147,0.02269569245020843,110.7247110436484
3200,2002_2004,6477,157,0.024239617106685193,110.73059550092853
3200,2005_2007,6477,174,0.026864289022695692,110.73647995820866
3200,2008_2010,6477,186,0.02871699861046781,110.74236441548881
3200,2011_2013,6477,247,0.03813493901497607,110.74824887276894
3200,2014_2016,6477,285,0.04400185270958777,110.75413333004907
3200,2017_2019,6477,300,0.04631773969430292,110.7600177873292
3400,1990_1992,7099,25,0.003521622763769545,110.76590224460934
3400,1993_1995,7099,28,0.00394421749542189,110.77178670188947
3400,1996_1998,7099,28,0.00394421749542189,110.7776711591696
3400,1999_2001,7099,23,0.0032398929426679813,110.78355561644973
3400,2002_2004,7099,31,0.004366812227074236,110.78944007372986
3400,2005_2007,7099,51,0.007184110438089872,110.79532453101
3400,2008_2010,7099,64,0.009015354275250036,110.80120898829014
3400,2011_2013,7099,81,0.011410057754613326,110.80709344557027
3400,2014_2016,7099,117,0.01648119453444147,110.8129779028504
3400,2017_2019,7099,116,0.01634032962389069,110.81886236013054
3600,1990_1992,7387,18,0.0024367131447136864,110.82474681741067
3600,1993_1995,7387,22,0.0029782049546500607,110.8306312746908
3600,1996_1998,7387,22,0.0029782049546500607,110.83651573197093
3600,1999_2001,7387,20,0.0027074590496818734,110.84240018925107
3600,2002_2004,7387,32,0.004331934479490998,110.8482846465312
3600,2005_2007,7387,38,0.005144172194395559,110.85416910381133
3600,2008_2010,7387,41,0.005550291051847841,110.86005356109148
3600,2011_2013,7387,29,0.003925815622038717,110.86593801837161
3600,2014_2016,7387,39,0.0052795451468796535,110.87182247565174
3600,2017_2019,7387,50,0.006768647624204684,110.87770693293187
3800,1990_1992,7419,22,0.002965359212831918,110.883591390212
3800,1993_1995,7419,24,0.003234937323089365,110.88947584749214
3800,1996_1998,7419,29,0.003908882598732983,110.89536030477227
3800,1999_2001,7419,18,0.002426202992317024,110.9012447620524
3800,2002_2004,7419,34,0.004582827874376601,110.90712921933253
3800,2005_2007,7419,29,0.003908882598732983,110.91301367661266
3800,2008_2010,7419,35,0.004717616929505324,110.91889813389281
3800,2011_2013,7419,39,0.005256773150020219,110.92478259117294
3800,2014_2016,7419,33,0.004448038819247877,110.93066704845307
3800,2017_2019,7419,61,0.008222132362852136,110.9365515057332
4000,1990_1992,7759,29,0.003737595050908622,110.94243596301334
4000,1993_1995,7759,33,0.004253125402758087,110.94832042029347
