year,seed,band,importance
Sentinel_2014_2016,8,NDVI_sin_3,97.19280381903535
Sentinel_2014_2016,8,SLOPE,96.2497073410358
Sentinel_2014_2016,8,Sentinel_B12,117.70053252129001
Sentinel_2014_2016,8,Sentinel_B7,110.86239258394805
Sentinel_2014_2016,8,Sentinel_B9,116.65415558559715
Sentinel_2014_2016,8,prec,98.06104603106883
Sentinel_2014_2016,8,random,83.39049045153628
Sentinel_2014_2016,8,shum,123.79678752605753
Sentinel_2014_2016,8,srad,101.76067053326398
Sentinel_2014_2016,9,DEM,116.28763759711391
Sentinel_2014_2016,9,EVI_sin_1,113.39747867949549
Sentinel_2014_2016,9,EVI_t,66.25397713044651
Sentinel_2014_2016,9,Landsat_B7,90.8228728605217
Sentinel_2014_2016,9,Landsat_B8,86.64114161389143
Sentinel_2014_2016,9,Mean_NDBI,82.33834993502613
Sentinel_2014_2016,9,Mean_NDVI,88.40770945079694
Sentinel_2014_2016,9,NDVI_sin_3,106.76116806392542
Sentinel_2014_2016,9,SLOPE,98.30437633950345
Sentinel_2014_2016,9,Sentinel_B12,124.70673393786396
Sentinel_2014_2016,9,Sentinel_B7,118.44041823991887
Sentinel_2014_2016,9,Sentinel_B9,115.68059582993095
Sentinel_2014_2016,9,prec,107.06766610067146
Sentinel_2014_2016,9,random,102.1199636147454
Sentinel_2014_2016,9,shum,111.96105030250965
Sentinel_2014_2016,9,srad,108.86031423307449
Sentinel_2017_2019,0,DEM,80.65895132305405
Sentinel_2017_2019,0,Landsat_B7,115.76137643638614
Sentinel_2017_2019,0,SLOPE,86.01660903129881
Sentinel_2017_2019,0,Sentinel_B9,107.43105464571462
Sentinel_2017_2019,0,random,80.24820257941533
Sentinel_2017_2019,0,shum,105.72781133691076
Sentinel_2017_2019,0,srad,90.218276791461
Sentinel_2017_2019,0,Landsat_B1,62.66614420722146
Sentinel_2017_2019,0,NDBI_constant,95.72499519682164
Sentinel_2017_2019,0,NDBI_sin_1,84.18698447212775
Sentinel_2017_2019,0,NDBI_sin_3,83.26704511225914
Sentinel_2017_2019,0,NDVI_cos_2,76.80360335258352
Sentinel_2017_2019,0,NDVI_sin_1,96.39120459581528
Sentinel_2017_2019,0,Sentinel_B2,106.25132913099652
Sentinel_2017_2019,0,Sentinel_B8,108.2980290133583
Sentinel_2017_2019,0,wind,88.0947609277335
Sentinel_2017_2019,1,DEM,90.68464736232166
