year,seed,band,importance
1993_1995,2,Mean_EVI,105.5138279535429
1993_1995,2,Mean_NDBI,88.73455725216041
1993_1995,2,SLOPE,108.32181631860828
1993_1995,2,random,99.59015967221315
1993_1995,2,shum,117.19761917027009
1993_1995,2,B4,97.57293785498337
1993_1995,2,EVI_cos_3,107.28031062261906
1993_1995,2,EVI_sin_3,107.66197654718887
1993_1995,2,EVI_t,67.68128930542935
1993_1995,2,NDBI_constant,105.44537705455886
1993_1995,2,NDVI_constant,93.87726161071807
1993_1995,2,NDVI_t,51.18750555264256
1993_1995,2,lrad,119.70432334274797
1993_1995,3,B7,112.76405714862604
1993_1995,3,DEM,104.85458799164601
1993_1995,3,EVI_sin_2,121.60741754421574
1993_1995,3,Mean_EVI,110.9102794243544
1993_1995,3,Mean_NDBI,86.95105649237163
1993_1995,3,SLOPE,94.56037699140246
1993_1995,3,random,83.03162495341284
1993_1995,3,shum,126.91563423214986
1993_1995,3,B4,98.3094869567163
1993_1995,3,EVI_cos_3,94.52906063403788
1993_1995,3,EVI_sin_3,116.8761955598266
1993_1995,3,EVI_t,55.85895148802867
1993_1995,3,NDBI_constant,111.13999579598858
1993_1995,3,NDVI_constant,87.8676475231102
1993_1995,3,NDVI_t,55.937489749797535
1993_1995,3,lrad,123.2614480252407
1993_1995,4,B7,111.93855426843172
1993_1995,4,DEM,116.07033494929176
1993_1995,4,EVI_sin_2,114.17114302048785
1993_1995,4,Mean_EVI,93.95198782949649
1993_1995,4,Mean_NDBI,91.29514003122907
1993_1995,4,SLOPE,104.63870795371749
1993_1995,4,random,92.91125619020028
1993_1995,4,shum,119.28827520693771
1993_1995,4,B4,93.83898293231306
1993_1995,4,EVI_cos_3,103.87253581887332
1993_1995,4,EVI_sin_3,105.66168082514838
1993_1995,4,EVI_t,58.91295626045411
1993_1995,4,NDBI_constant,104.99588537080434
1993_1995,4,NDVI_constant,91.04266052804866
1993_1995,4,NDVI_t,46.75767660373234
1993_1995,4,lrad,113.48866621251557
1993_1995,5,B7,106.4872126203886
1993_1995,5,DEM,108.74149650580271
1993_1995,5,EVI_sin_2,114.57778027888865
1993_1995,5,Mean_EVI,100.53431297381704
1993_1995,5,Mean_NDBI,89.78265518646066
1993_1995,5,SLOPE,101.30913726676174
1993_1995,5,random,95.77112311884203
1993_1995,5,shum,114.76923611492929
1993_1995,5,B4,92.06744693594486
1993_1995,5,EVI_cos_3,108.71664691784517
1993_1995,5,EVI_sin_3,97.4994329352556
1993_1995,5,EVI_t,57.54718140901077
1993_1995,5,NDBI_constant,103.21466160622522
1993_1995,5,NDVI_constant,93.08699408223188
1993_1995,5,NDVI_t,52.661960461738
1993_1995,5,lrad,120.72656776212335
