year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
2005_2007,0,93.19,92.74,93.87,95.77,89.64
2005_2007,1,92.96,89.47,96.18,95.58,90.82
2005_2007,2,84.76,80.23,88.34,84.49,84.96
2005_2007,3,85.36,80.26,87.88,76.57,90.02
2005_2007,4,89.88,89.3,90.21,83.46,93.84
2005_2007,5,91.32,88.05,92.17,74.53,96.74
2005_2007,6,95.0,89.87,96.48,88.02,97.07
2005_2007,7,94.91,93.47,95.88,93.85,95.62
2005_2007,8,96.75,96.18,97.25,96.85,96.66
2005_2007,9,94.34,94.81,93.78,94.81,93.78
2008_2010,0,95.63,96.65,94.34,95.59,95.69
2008_2010,1,92.49,89.96,94.95,94.53,90.69
2008_2010,2,86.55,83.75,88.82,85.93,87.03
2008_2010,3,83.07,84.42,82.52,66.14,92.91
2008_2010,4,88.72,86.07,90.11,82.03,92.49
2008_2010,5,91.26,84.35,93.34,79.21,95.2
2008_2010,6,95.04,92.66,95.82,87.91,97.55
2008_2010,7,94.49,93.43,95.43,94.74,94.28
2008_2010,8,95.5,96.03,95.07,94.16,96.66
2008_2010,9,93.25,92.88,93.75,95.26,90.7
2011_2013,0,95.2,94.31,96.67,97.92,91.1
2011_2013,1,90.64,89.47,91.52,88.76,92.07
2011_2013,2,86.83,83.74,89.29,86.12,87.37
2011_2013,3,84.45,81.22,85.96,73.0,90.74
2011_2013,4,89.7,88.84,90.13,81.82,94.17
2011_2013,5,89.65,83.91,91.2,72.01,95.45
2011_2013,6,94.53,93.91,94.69,82.76,98.29
2011_2013,7,93.65,92.34,94.71,93.36,93.88
2011_2013,8,94.04,93.06,94.82,93.44,94.52
2011_2013,9,93.38,93.46,93.27,94.55,91.94
2014_2016,0,95.0,94.3,95.94,96.88,92.65
2014_2016,1,92.44,89.11,95.08,93.47,91.69
2014_2016,2,86.71,82.9,89.79,86.77,86.67
2014_2016,3,81.22,82.52,80.67,64.64,91.51
2014_2016,4,83.47,81.28,84.36,67.94,91.7
2014_2016,5,88.05,76.15,91.25,70.0,93.45
2014_2016,6,94.5,93.28,94.87,84.89,97.86
2014_2016,7,92.61,90.7,94.07,92.13,92.96
2014_2016,8,93.72,94.44,93.22,90.57,96.05
2014_2016,9,94.2,94.9,93.2,95.22,92.75
2017_2019,0,95.11,95.99,93.88,95.64,94.36
2017_2019,1,92.55,89.43,95.07,93.62,91.75
2017_2019,2,86.27,80.77,90.61,87.14,85.67
2017_2019,3,82.93,75.35,86.27,70.74,88.82
2017_2019,4,83.33,82.27,83.81,69.62,91.29
2017_2019,5,90.2,81.34,92.23,70.54,95.58
2017_2019,6,93.7,88.43,95.25,84.58,96.54
2017_2019,7,91.4,90.0,92.56,90.97,91.74
2017_2019,8,94.16,91.79,96.18,95.35,93.21
2017_2019,9,91.88,92.69,90.69,93.62,89.37
