Type,Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Invarient,2017_2019,Fourier,100,40,89.5,87.54,91.58,91.73,87.33
Each_year,2017_2019,Fourier,100,50,96.24,95.73,96.83,97.15,95.25
Invarient,2017_2019,Fourier,100,50,89.55,87.75,91.46,91.58,87.59
Each_year,2017_2019,Fourier,100,60,96.26,95.76,96.83,97.15,95.3
Invarient,2017_2019,Fourier,100,60,89.53,87.66,91.52,91.65,87.48
Each_year,2017_2019,Fourier,100,70,96.34,95.87,96.87,97.18,95.42
Invarient,2017_2019,Fourier,100,70,89.5,87.65,91.45,91.58,87.48
Each_year,2017_2019,Fourier,100,80,96.4,95.94,96.92,97.22,95.5
Invarient,2017_2019,Fourier,100,80,89.44,87.64,91.35,91.46,87.48
Each_year,2017_2019,Fourier,100,90,96.38,96.05,96.76,97.07,95.63
Invarient,2017_2019,Fourier,100,90,89.59,87.9,91.37,91.46,87.77
Each_year,2017_2019,Fourier,100,100,96.42,96.12,96.76,97.07,95.71
Invarient,2017_2019,Fourier,100,100,89.76,88.05,91.56,91.65,87.92
Each_year,2017_2019,Fourier,100,110,96.44,96.19,96.72,97.03,95.8
Invarient,2017_2019,Fourier,100,110,89.85,88.12,91.68,91.77,88.0
Each_year,2017_2019,Fourier,100,120,96.5,96.23,96.8,97.11,95.84
Invarient,2017_2019,Fourier,100,120,89.85,88.04,91.77,91.88,87.89
Each_year,2017_2019,Landsat_Fourier,100,1,91.79,93.04,90.48,91.1,92.55
Invarient,2017_2019,Landsat_Fourier,100,1,83.93,83.11,84.76,84.57,83.31
Each_year,2017_2019,Landsat_Fourier,100,10,96.28,95.15,97.59,97.87,94.55
Invarient,2017_2019,Landsat_Fourier,100,10,89.93,86.95,93.3,93.61,86.36
Each_year,2017_2019,Landsat_Fourier,100,20,96.5,95.81,97.28,97.56,95.34
Invarient,2017_2019,Landsat_Fourier,100,20,90.85,88.49,93.43,93.61,88.18
Each_year,2017_2019,Landsat_Fourier,100,30,96.6,95.96,97.33,97.6,95.5
Invarient,2017_2019,Landsat_Fourier,100,30,91.19,89.01,93.54,93.68,88.78
Each_year,2017_2019,Landsat_Fourier,100,40,96.82,96.08,97.66,97.91,95.63
Invarient,2017_2019,Landsat_Fourier,100,40,91.36,89.28,93.6,93.72,89.07
Each_year,2017_2019,Landsat_Fourier,100,50,96.78,96.04,97.62,97.87,95.59
Invarient,2017_2019,Landsat_Fourier,100,50,91.34,89.27,93.56,93.68,89.07
Each_year,2017_2019,Landsat_Fourier,100,60,96.82,96.11,97.62,97.87,95.67
Invarient,2017_2019,Landsat_Fourier,100,60,91.57,89.41,93.9,94.03,89.19
Each_year,2017_2019,Landsat_Fourier,100,70,96.82,96.18,97.54,97.79,95.75
Invarient,2017_2019,Landsat_Fourier,100,70,91.48,89.27,93.85,93.99,89.04
Each_year,2017_2019,Landsat_Fourier,100,80,96.84,96.22,97.54,97.79,95.8
Invarient,2017_2019,Landsat_Fourier,100,80,91.65,89.51,93.94,94.07,89.3
Each_year,2017_2019,Landsat_Fourier,100,90,96.92,96.26,97.67,97.91,95.84
Invarient,2017_2019,Landsat_Fourier,100,90,91.57,89.49,93.79,93.91,89.3
Each_year,2017_2019,Landsat_Fourier,100,100,96.92,96.29,97.63,97.87,95.88
Invarient,2017_2019,Landsat_Fourier,100,100,91.59,89.58,93.73,93.84,89.41
Each_year,2017_2019,Landsat_Fourier,100,110,96.92,96.29,97.63,97.87,95.88
Invarient,2017_2019,Landsat_Fourier,100,110,91.65,89.62,93.8,93.91,89.45
Each_year,2017_2019,Landsat_Fourier,100,120,96.82,96.18,97.54,97.79,95.75
Invarient,2017_2019,Landsat_Fourier,100,120,91.83,89.75,94.07,94.18,89.56
Each_year,2017_2019,Landsat_Mean,100,1,89.6,90.4,88.74,89.61,89.59
Invarient,2017_2019,Landsat_Mean,100,1,78.33,77.97,78.68,78.06,78.6
Each_year,2017_2019,Landsat_Mean,100,10,93.4,91.9,95.2,95.81,90.76
Invarient,2017_2019,Landsat_Mean,100,10,84.42,82.12,86.96,87.4,81.53
Each_year,2017_2019,Landsat_Mean,100,20,93.8,92.64,95.16,95.74,91.67
Invarient,2017_2019,Landsat_Mean,100,20,85.37,83.82,86.98,87.1,83.69
Each_year,2017_2019,Landsat_Mean,100,30,94.04,92.76,95.54,96.08,91.8
Invarient,2017_2019,Landsat_Mean,100,30,85.88,84.93,86.84,86.72,85.06
Each_year,2017_2019,Landsat_Mean,100,40,94.06,92.83,95.5,96.04,91.88
Invarient,2017_2019,Landsat_Mean,100,40,86.14,85.27,87.02,86.87,85.43
Each_year,2017_2019,Landsat_Mean,100,50,93.98,92.79,95.37,95.93,91.84
Invarient,2017_2019,Landsat_Mean,100,50,86.29,85.45,87.14,86.98,85.62
Each_year,2017_2019,Landsat_Mean,100,60,94.16,92.9,95.63,96.16,91.97
Invarient,2017_2019,Landsat_Mean,100,60,86.29,85.42,87.17,87.02,85.58
Each_year,2017_2019,Landsat_Mean,100,70,94.19,93.07,95.51,96.04,92.17
Invarient,2017_2019,Landsat_Mean,100,70,86.35,85.52,87.18,87.02,85.69
Each_year,2017_2019,Landsat_Mean,100,80,94.25,93.14,95.56,96.08,92.26
Invarient,2017_2019,Landsat_Mean,100,80,86.46,85.68,87.24,87.06,85.88
Each_year,2017_2019,Landsat_Mean,100,90,94.17,93.1,95.43,95.97,92.21
Invarient,2017_2019,Landsat_Mean,100,90,86.46,85.57,87.35,87.21,85.73
Each_year,2017_2019,Landsat_Mean,100,100,94.17,93.16,95.35,95.89,92.3
Invarient,2017_2019,Landsat_Mean,100,100,86.57,85.74,87.41,87.25,85.92
Each_year,2017_2019,Landsat_Mean,100,110,94.29,93.18,95.6,96.12,92.3
Invarient,2017_2019,Landsat_Mean,100,110,86.48,85.66,87.3,87.14,85.84
Each_year,2017_2019,Landsat_Mean,100,120,94.14,93.03,95.43,95.97,92.13
Invarient,2017_2019,Landsat_Mean,100,120,86.57,85.8,87.35,87.17,85.99
Each_year,2017_2019,Fourier_Mean,100,1,93.28,93.74,92.79,93.38,93.17
Invarient,2017_2019,Fourier_Mean,100,1,82.2,81.74,82.65,82.24,82.16
Each_year,2017_2019,Fourier_Mean,100,10,96.38,95.2,97.76,98.02,94.59
Invarient,2017_2019,Fourier_Mean,100,10,88.97,85.93,92.43,92.8,85.25
Each_year,2017_2019,Fourier_Mean,100,20,96.58,95.58,97.73,97.98,95.05
Invarient,2017_2019,Fourier_Mean,100,20,90.21,87.52,93.2,93.45,87.07
Each_year,2017_2019,Fourier_Mean,100,30,96.46,95.54,97.52,97.79,95.0
Invarient,2017_2019,Fourier_Mean,100,30,90.36,87.69,93.32,93.57,87.25
Each_year,2017_2019,Fourier_Mean,100,40,96.66,95.9,97.53,97.79,95.42
Invarient,2017_2019,Fourier_Mean,100,40,90.68,88.12,93.5,93.72,87.74
Each_year,2017_2019,Fourier_Mean,100,50,96.64,95.89,97.49,97.75,95.42
Invarient,2017_2019,Fourier_Mean,100,50,90.7,88.18,93.47,93.68,87.81
Each_year,2017_2019,Fourier_Mean,100,60,96.52,95.71,97.44,97.72,95.21
Invarient,2017_2019,Fourier_Mean,100,60,90.8,88.42,93.38,93.57,88.11
Each_year,2017_2019,Fourier_Mean,100,70,96.52,95.82,97.32,97.6,95.34
Invarient,2017_2019,Fourier_Mean,100,70,90.93,88.56,93.5,93.68,88.26
Each_year,2017_2019,Fourier_Mean,100,80,96.6,95.86,97.45,97.72,95.38
Invarient,2017_2019,Fourier_Mean,100,80,91.19,88.9,93.68,93.84,88.63
Each_year,2017_2019,Fourier_Mean,100,90,96.62,95.89,97.45,97.72,95.42
Invarient,2017_2019,Fourier_Mean,100,90,91.04,88.64,93.66,93.84,88.33
Each_year,2017_2019,Fourier_Mean,100,100,96.62,95.96,97.37,97.64,95.5
Invarient,2017_2019,Fourier_Mean,100,100,91.04,88.64,93.66,93.84,88.33
Each_year,2017_2019,Fourier_Mean,100,110,96.6,95.93,97.37,97.64,95.46
Invarient,2017_2019,Fourier_Mean,100,110,90.95,88.54,93.58,93.76,88.22
Each_year,2017_2019,Fourier_Mean,100,120,96.66,96.0,97.41,97.68,95.55
Invarient,2017_2019,Fourier_Mean,100,120,91.08,88.74,93.63,93.8,88.44
Each_year,2017_2019,Landsat_Fourier_Mean,100,1,92.86,93.52,92.16,92.77,92.96
Invarient,2017_2019,Landsat_Fourier_Mean,100,1,83.63,83.06,84.2,83.88,83.39
Each_year,2017_2019,Landsat_Fourier_Mean,100,10,96.34,95.36,97.47,97.75,94.8
Invarient,2017_2019,Landsat_Fourier_Mean,100,10,90.42,87.49,93.71,93.99,86.96
Each_year,2017_2019,Landsat_Fourier_Mean,100,20,96.62,95.65,97.73,97.98,95.13
Invarient,2017_2019,Landsat_Fourier_Mean,100,20,91.19,88.76,93.85,94.03,88.44
Each_year,2017_2019,Landsat_Fourier_Mean,100,30,96.74,95.97,97.62,97.87,95.5
Invarient,2017_2019,Landsat_Fourier_Mean,100,30,91.38,89.2,93.74,93.87,88.96
Each_year,2017_2019,Landsat_Fourier_Mean,100,40,96.8,96.08,97.62,97.87,95.63
Invarient,2017_2019,Landsat_Fourier_Mean,100,40,91.29,89.09,93.65,93.8,88.85
Each_year,2017_2019,Landsat_Fourier_Mean,100,50,96.9,96.12,97.79,98.02,95.67
Invarient,2017_2019,Landsat_Fourier_Mean,100,50,91.34,89.13,93.73,93.87,88.89
Each_year,2017_2019,Landsat_Fourier_Mean,100,60,97.0,96.2,97.91,98.14,95.75
Invarient,2017_2019,Landsat_Fourier_Mean,100,60,91.5,89.31,93.85,93.99,89.07
Each_year,2017_2019,Landsat_Fourier_Mean,100,70,97.04,96.37,97.79,98.02,95.96
Invarient,2017_2019,Landsat_Fourier_Mean,100,70,91.67,89.43,94.08,94.22,89.19
Each_year,2017_2019,Landsat_Fourier_Mean,100,80,97.04,96.34,97.83,98.06,95.92
Invarient,2017_2019,Landsat_Fourier_Mean,100,80,91.55,89.32,93.96,94.1,89.07
Each_year,2017_2019,Landsat_Fourier_Mean,100,90,97.04,96.3,97.88,98.1,95.88
Invarient,2017_2019,Landsat_Fourier_Mean,100,90,91.51,89.28,93.92,94.07,89.04
Each_year,2017_2019,Landsat_Fourier_Mean,100,100,97.06,96.3,97.92,98.14,95.88
Invarient,2017_2019,Landsat_Fourier_Mean,100,100,91.57,89.35,93.97,94.1,89.11
Each_year,2017_2019,Landsat_Fourier_Mean,100,110,97.08,96.34,97.92,98.14,95.92
Invarient,2017_2019,Landsat_Fourier_Mean,100,110,91.63,89.5,93.9,94.03,89.3
Each_year,2017_2019,Landsat_Fourier_Mean,100,120,97.04,96.3,97.88,98.1,95.88
Invarient,2017_2019,Landsat_Fourier_Mean,100,120,91.63,89.56,93.84,93.95,89.37
Each_year,2011_2013,Landsat,100,1,89.73,90.23,89.19,90.09,89.34
Invarient,2011_2013,Landsat,100,1,75.21,74.98,75.42,74.78,75.62
Each_year,2011_2013,Landsat,100,10,92.8,91.66,94.15,94.85,90.57
Invarient,2011_2013,Landsat,100,10,80.99,79.39,82.71,83.11,78.91
Each_year,2011_2013,Landsat,100,20,93.11,92.27,94.07,94.73,91.33
Invarient,2011_2013,Landsat,100,20,81.96,81.75,82.17,81.75,82.17
Each_year,2011_2013,Landsat,100,30,93.09,92.3,93.99,94.66,91.37
Invarient,2011_2013,Landsat,100,30,81.9,82.07,81.75,81.11,82.69
Each_year,2011_2013,Landsat,100,40,93.17,92.41,94.04,94.7,91.5
Invarient,2011_2013,Landsat,100,40,82.09,82.51,81.7,80.92,83.24
Each_year,2011_2013,Landsat,100,50,93.29,92.68,93.98,94.62,91.84
Invarient,2011_2013,Landsat,100,50,82.28,82.83,81.77,80.92,83.61
Each_year,2011_2013,Landsat,100,60,93.21,92.73,93.74,94.39,91.92
Invarient,2011_2013,Landsat,100,60,82.15,82.83,81.51,80.58,83.68
Each_year,2011_2013,Landsat,100,70,93.15,92.63,93.74,94.39,91.79
Invarient,2011_2013,Landsat,100,70,82.13,82.9,81.42,80.42,83.8
Each_year,2011_2013,Landsat,100,80,93.09,92.56,93.69,94.35,91.71
Invarient,2011_2013,Landsat,100,80,82.35,83.35,81.45,80.35,84.31
Each_year,2011_2013,Landsat,100,90,93.25,92.68,93.9,94.54,91.84
Invarient,2011_2013,Landsat,100,90,82.2,83.22,81.29,80.16,84.2
Each_year,2011_2013,Landsat,100,100,93.13,92.59,93.73,94.39,91.75
Invarient,2011_2013,Landsat,100,100,82.43,83.4,81.55,80.46,84.35
Each_year,2011_2013,Landsat,100,110,93.19,92.67,93.78,94.43,91.84
Invarient,2011_2013,Landsat,100,110,82.41,83.52,81.4,80.23,84.54
Each_year,2011_2013,Landsat,100,120,93.25,92.71,93.86,94.5,91.88
Invarient,2011_2013,Landsat,100,120,82.52,83.54,81.6,80.5,84.5
Each_year,2011_2013,Fourier,100,1,91.87,93.36,90.34,90.9,92.94
Invarient,2011_2013,Fourier,100,1,80.58,80.01,81.14,80.92,80.24
Each_year,2011_2013,Fourier,100,10,95.96,95.32,96.68,97.02,94.8
Invarient,2011_2013,Fourier,100,10,87.86,85.65,90.27,90.61,85.16
Each_year,2011_2013,Fourier,100,20,96.44,95.95,96.99,97.29,95.52
Invarient,2011_2013,Fourier,100,20,88.62,87.14,90.18,90.31,86.98
Each_year,2011_2013,Fourier,100,30,96.32,95.8,96.9,97.21,95.35
Invarient,2011_2013,Fourier,100,30,88.87,87.42,90.38,90.5,87.27
Each_year,2011_2013,Fourier,100,40,96.22,95.8,96.7,97.02,95.35
Invarient,2011_2013,Fourier,100,40,89.09,87.66,90.58,90.69,87.53
Each_year,2011_2013,Fourier,100,50,96.54,96.42,96.68,96.98,96.07
Invarient,2011_2013,Fourier,100,50,89.3,87.88,90.78,90.87,87.75
Each_year,2011_2013,Fourier,100,60,96.54,96.46,96.64,96.94,96.11
Invarient,2011_2013,Fourier,100,60,89.37,88.04,90.76,90.84,87.94
Each_year,2011_2013,Fourier,100,70,96.62,96.53,96.72,97.02,96.19
Invarient,2011_2013,Fourier,100,70,89.39,88.15,90.67,90.72,88.09
Each_year,2011_2013,Fourier,100,80,96.6,96.5,96.72,97.02,96.15
Invarient,2011_2013,Fourier,100,80,89.45,88.19,90.74,90.8,88.12
Each_year,2011_2013,Fourier,100,90,96.68,96.57,96.81,97.1,96.24
Invarient,2011_2013,Fourier,100,90,89.35,88.17,90.57,90.61,88.12
Each_year,2011_2013,Fourier,100,100,96.73,96.58,96.89,97.17,96.24
Invarient,2011_2013,Fourier,100,100,89.39,88.29,90.52,90.53,88.27
Each_year,2011_2013,Fourier,100,110,96.71,96.61,96.81,97.1,96.28
Invarient,2011_2013,Fourier,100,110,89.35,88.14,90.6,90.65,88.09
Each_year,2011_2013,Fourier,100,120,96.66,96.54,96.81,97.1,96.19
Invarient,2011_2013,Fourier,100,120,89.45,88.34,90.59,90.61,88.31
Each_year,2011_2013,Landsat_Fourier,100,1,94.06,94.52,93.56,94.08,94.04
Invarient,2011_2013,Landsat_Fourier,100,1,84.08,84.32,83.85,83.26,84.87
Each_year,2011_2013,Landsat_Fourier,100,10,96.75,95.94,97.66,97.91,95.47
Invarient,2011_2013,Landsat_Fourier,100,10,90.49,88.32,92.85,93.07,87.98
Each_year,2011_2013,Landsat_Fourier,100,20,97.09,96.6,97.64,97.87,96.24
Invarient,2011_2013,Landsat_Fourier,100,20,91.04,89.34,92.84,92.96,89.16
Each_year,2011_2013,Landsat_Fourier,100,30,97.09,96.67,97.56,97.79,96.32
Invarient,2011_2013,Landsat_Fourier,100,30,91.11,89.82,92.45,92.5,89.75
Each_year,2011_2013,Landsat_Fourier,100,40,97.23,96.75,97.77,97.99,96.4
Invarient,2011_2013,Landsat_Fourier,100,40,91.43,90.17,92.73,92.77,90.12
Each_year,2011_2013,Landsat_Fourier,100,50,97.27,96.86,97.73,97.95,96.53
Invarient,2011_2013,Landsat_Fourier,100,50,91.26,89.93,92.64,92.69,89.86
Each_year,2011_2013,Landsat_Fourier,100,60,97.25,96.82,97.73,97.95,96.49
Invarient,2011_2013,Landsat_Fourier,100,60,91.26,89.96,92.61,92.65,89.9
Each_year,2011_2013,Landsat_Fourier,100,70,97.31,96.93,97.73,97.95,96.62
Invarient,2011_2013,Landsat_Fourier,100,70,91.34,90.04,92.68,92.73,89.97
Each_year,2011_2013,Landsat_Fourier,100,80,97.23,96.82,97.69,97.91,96.49
Invarient,2011_2013,Landsat_Fourier,100,80,91.32,90.06,92.62,92.65,90.01
Each_year,2011_2013,Landsat_Fourier,100,90,97.25,96.9,97.65,97.87,96.57
Invarient,2011_2013,Landsat_Fourier,100,90,91.37,90.22,92.56,92.58,90.2
Each_year,2011_2013,Landsat_Fourier,100,100,97.37,97.08,97.69,97.91,96.79
Invarient,2011_2013,Landsat_Fourier,100,100,91.43,90.26,92.63,92.65,90.23
Each_year,2011_2013,Landsat_Fourier,100,110,97.39,97.08,97.74,97.95,96.79
Invarient,2011_2013,Landsat_Fourier,100,110,91.5,90.34,92.71,92.73,90.31
Each_year,2011_2013,Landsat_Fourier,100,120,97.33,97.04,97.65,97.87,96.74
Invarient,2011_2013,Landsat_Fourier,100,120,91.43,90.32,92.57,92.58,90.31
Each_year,2011_2013,Landsat_Mean,100,1,91.33,92.43,90.16,90.82,91.88
Invarient,2011_2013,Landsat_Mean,100,1,77.19,77.26,77.12,76.3,78.06
Each_year,2011_2013,Landsat_Mean,100,10,94.89,93.93,95.99,96.44,93.19
Invarient,2011_2013,Landsat_Mean,100,10,84.38,82.65,86.23,86.56,82.24
Each_year,2011_2013,Landsat_Mean,100,20,95.11,94.19,96.17,96.59,93.49
Invarient,2011_2013,Landsat_Mean,100,20,84.47,83.6,85.35,85.31,83.65
Each_year,2011_2013,Landsat_Mean,100,30,95.09,94.22,96.09,96.52,93.53
Invarient,2011_2013,Landsat_Mean,100,30,84.94,84.46,85.41,85.2,84.68
Each_year,2011_2013,Landsat_Mean,100,40,95.17,94.43,96.02,96.44,93.78
Invarient,2011_2013,Landsat_Mean,100,40,85.05,84.68,85.42,85.16,84.94
Each_year,2011_2013,Landsat_Mean,100,50,95.17,94.46,95.98,96.4,93.82
Invarient,2011_2013,Landsat_Mean,100,50,85.27,85.06,85.48,85.16,85.39
Each_year,2011_2013,Landsat_Mean,100,60,95.19,94.53,95.94,96.36,93.91
Invarient,2011_2013,Landsat_Mean,100,60,85.05,84.75,85.34,85.04,85.05
Each_year,2011_2013,Landsat_Mean,100,70,95.13,94.39,95.97,96.4,93.74
Invarient,2011_2013,Landsat_Mean,100,70,85.25,85.03,85.48,85.16,85.35
Each_year,2011_2013,Landsat_Mean,100,80,95.13,94.39,95.97,96.4,93.74
Invarient,2011_2013,Landsat_Mean,100,80,85.24,85.08,85.39,85.04,85.42
Each_year,2011_2013,Landsat_Mean,100,90,95.11,94.29,96.05,96.48,93.61
Invarient,2011_2013,Landsat_Mean,100,90,85.24,85.1,85.37,85.01,85.46
Each_year,2011_2013,Landsat_Mean,100,100,95.09,94.42,95.85,96.28,93.78
Invarient,2011_2013,Landsat_Mean,100,100,85.2,85.09,85.3,84.93,85.46
Each_year,2011_2013,Landsat_Mean,100,110,94.99,94.31,95.76,96.21,93.65
Invarient,2011_2013,Landsat_Mean,100,110,85.39,85.36,85.41,85.01,85.76
Each_year,2011_2013,Landsat_Mean,100,120,94.97,94.31,95.72,96.17,93.65
Invarient,2011_2013,Landsat_Mean,100,120,85.29,85.31,85.28,84.85,85.72
Each_year,2011_2013,Fourier_Mean,100,1,93.41,94.03,92.74,93.3,93.53
Invarient,2011_2013,Fourier_Mean,100,1,82.93,82.71,83.15,82.77,83.09
Each_year,2011_2013,Fourier_Mean,100,10,96.71,95.9,97.62,97.87,95.43
Invarient,2011_2013,Fourier_Mean,100,10,89.2,86.73,91.95,92.28,86.2
Each_year,2011_2013,Fourier_Mean,100,20,96.99,96.45,97.59,97.83,96.07
Invarient,2011_2013,Fourier_Mean,100,20,89.9,88.05,91.87,92.05,87.79
Each_year,2011_2013,Fourier_Mean,100,30,97.29,96.9,97.73,97.95,96.57
Invarient,2011_2013,Fourier_Mean,100,30,89.88,88.55,91.26,91.33,88.46
Each_year,2011_2013,Fourier_Mean,100,40,97.45,97.12,97.82,98.03,96.83
Invarient,2011_2013,Fourier_Mean,100,40,90.21,89.02,91.44,91.48,88.98
Each_year,2011_2013,Fourier_Mean,100,50,97.47,97.27,97.7,97.91,97.0
Invarient,2011_2013,Fourier_Mean,100,50,90.51,89.37,91.69,91.71,89.35
Each_year,2011_2013,Fourier_Mean,100,60,97.43,97.23,97.66,97.87,96.95
Invarient,2011_2013,Fourier_Mean,100,60,90.44,89.42,91.48,91.48,89.42
Each_year,2011_2013,Fourier_Mean,100,70,97.35,97.08,97.65,97.87,96.79
Invarient,2011_2013,Fourier_Mean,100,70,90.38,89.35,91.44,91.44,89.35
Each_year,2011_2013,Fourier_Mean,100,80,97.41,97.23,97.61,97.83,96.95
Invarient,2011_2013,Fourier_Mean,100,80,90.44,89.42,91.48,91.48,89.42
Each_year,2011_2013,Fourier_Mean,100,90,97.47,97.23,97.74,97.95,96.95
Invarient,2011_2013,Fourier_Mean,100,90,90.44,89.47,91.42,91.4,89.49
Each_year,2011_2013,Fourier_Mean,100,100,97.43,97.19,97.7,97.91,96.91
Invarient,2011_2013,Fourier_Mean,100,100,90.44,89.53,91.36,91.33,89.57
Each_year,2011_2013,Fourier_Mean,100,110,97.39,97.16,97.65,97.87,96.87
Invarient,2011_2013,Fourier_Mean,100,110,90.44,89.62,91.27,91.22,89.68
Each_year,2011_2013,Fourier_Mean,100,120,97.43,97.19,97.7,97.91,96.91
Invarient,2011_2013,Fourier_Mean,100,120,90.38,89.4,91.38,91.37,89.42
Each_year,2011_2013,Landsat_Fourier_Mean,100,1,94.08,94.9,93.2,93.69,94.5
Invarient,2011_2013,Landsat_Fourier_Mean,100,1,84.0,83.35,84.66,84.51,83.5
Each_year,2011_2013,Landsat_Fourier_Mean,100,10,96.79,96.08,97.58,97.83,95.64
Invarient,2011_2013,Landsat_Fourier_Mean,100,10,90.59,88.73,92.57,92.73,88.49
Each_year,2011_2013,Landsat_Fourier_Mean,100,20,97.13,96.71,97.6,97.83,96.36
Invarient,2011_2013,Landsat_Fourier_Mean,100,20,91.3,89.71,92.97,93.07,89.57
Each_year,2011_2013,Landsat_Fourier_Mean,100,30,97.43,97.09,97.82,98.03,96.79
Invarient,2011_2013,Landsat_Fourier_Mean,100,30,91.39,90.31,92.5,92.5,90.31
Each_year,2011_2013,Landsat_Fourier_Mean,100,40,97.49,97.09,97.95,98.14,96.79
Invarient,2011_2013,Landsat_Fourier_Mean,100,40,91.47,90.27,92.7,92.73,90.23
Each_year,2011_2013,Landsat_Fourier_Mean,100,50,97.47,97.12,97.86,98.06,96.83
Invarient,2011_2013,Landsat_Fourier_Mean,100,50,91.45,90.24,92.7,92.73,90.2
Each_year,2011_2013,Landsat_Fourier_Mean,100,60,97.43,97.12,97.78,97.99,96.83
Invarient,2011_2013,Landsat_Fourier_Mean,100,60,91.52,90.52,92.55,92.54,90.53
Each_year,2011_2013,Landsat_Fourier_Mean,100,70,97.53,97.16,97.95,98.14,96.87
Invarient,2011_2013,Landsat_Fourier_Mean,100,70,91.47,90.42,92.54,92.54,90.42
Each_year,2011_2013,Landsat_Fourier_Mean,100,80,97.59,97.24,97.99,98.18,96.95
Invarient,2011_2013,Landsat_Fourier_Mean,100,80,91.52,90.43,92.65,92.65,90.42
Each_year,2011_2013,Landsat_Fourier_Mean,100,90,97.59,97.28,97.95,98.14,97.0
Invarient,2011_2013,Landsat_Fourier_Mean,100,90,91.45,90.44,92.47,92.46,90.46
Each_year,2011_2013,Landsat_Fourier_Mean,100,100,97.57,97.24,97.95,98.14,96.95
Invarient,2011_2013,Landsat_Fourier_Mean,100,100,91.6,90.47,92.75,92.77,90.46
Each_year,2011_2013,Landsat_Fourier_Mean,100,110,97.55,97.24,97.91,98.1,96.95
Invarient,2011_2013,Landsat_Fourier_Mean,100,110,91.6,90.47,92.75,92.77,90.46
Each_year,2011_2013,Landsat_Fourier_Mean,100,120,97.51,97.24,97.82,98.03,96.95
Invarient,2011_2013,Landsat_Fourier_Mean,100,120,91.62,90.57,92.69,92.69,90.57
Each_year,2008_2010,Landsat,100,1,88.29,88.76,87.78,88.56,88.0
Invarient,2008_2010,Landsat,100,1,73.41,74.07,72.76,72.59,74.24
Each_year,2008_2010,Landsat,100,10,92.15,91.05,93.42,94.07,90.1
Invarient,2008_2010,Landsat,100,10,78.86,78.52,79.22,79.86,77.85
Each_year,2008_2010,Landsat,100,20,92.13,91.51,92.83,93.45,90.72
Invarient,2008_2010,Landsat,100,20,80.02,80.55,79.5,79.52,80.54
