Type,Year,Combo,Percent,Tree,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
Invarient,2017_2019,Landsat_Fourier_Mean,100,70,90.73,89.31,92.28,92.67,88.76
Visaull,2017_2019,Landsat_Fourier_Mean,100,80,92.13,93.83,73.2,97.5,51.55
Invarient,2017_2019,Landsat_Fourier_Mean,100,80,90.73,89.37,92.21,92.59,88.84
Visaull,2017_2019,Landsat_Fourier_Mean,100,90,92.26,93.9,74.0,97.58,52.11
Invarient,2017_2019,Landsat_Fourier_Mean,100,90,90.8,89.5,92.22,92.59,88.99
Visaull,2017_2019,Landsat_Fourier_Mean,100,100,92.23,93.9,73.71,97.54,52.11
Invarient,2017_2019,Landsat_Fourier_Mean,100,100,90.73,89.46,92.11,92.48,88.95
Visaull,2017_2019,Landsat_Fourier_Mean,100,110,92.33,94.0,74.02,97.54,52.96
Invarient,2017_2019,Landsat_Fourier_Mean,100,110,90.61,89.32,92.02,92.4,88.8
Visaull,2017_2019,Landsat_Fourier_Mean,100,120,92.23,93.96,73.33,97.47,52.68
Invarient,2017_2019,Landsat_Fourier_Mean,100,120,90.58,89.34,91.92,92.29,88.84
Visaull,2011_2013,Landsat,100,1,82.68,89.62,41.61,90.08,40.4
Invarient,2011_2013,Landsat,100,1,74.27,74.51,74.04,73.05,75.46
Visaull,2011_2013,Landsat,100,10,87.43,89.64,63.67,96.37,36.38
Invarient,2011_2013,Landsat,100,10,80.51,78.91,82.23,82.78,78.27
Visaull,2011_2013,Landsat,100,20,88.23,90.05,68.5,96.88,38.84
Invarient,2011_2013,Landsat,100,20,81.59,80.78,82.42,82.46,80.74
Visaull,2011_2013,Landsat,100,30,88.2,90.05,68.24,96.84,38.84
Invarient,2011_2013,Landsat,100,30,82.29,81.87,82.72,82.54,82.05
Visaull,2011_2013,Landsat,100,40,88.13,89.98,67.98,96.84,38.39
Invarient,2011_2013,Landsat,100,40,82.29,82.14,82.44,82.11,82.47
Visaull,2011_2013,Landsat,100,50,88.13,90.07,67.57,96.72,39.06
Invarient,2011_2013,Landsat,100,50,82.7,82.62,82.78,82.42,82.97
Visaull,2011_2013,Landsat,100,60,88.0,89.97,66.93,96.68,38.39
Invarient,2011_2013,Landsat,100,60,82.64,82.73,82.56,82.11,83.17
