year,seed,Overall_ACC,Precisioin_non_built,Precisioin_built,Recall_non_built,Recall_built
1993_1995,1,93.32,92.89,93.78,93.96,92.67
1993_1995,2,93.21,92.75,93.7,93.99,92.41
1993_1995,3,92.66,91.29,94.02,93.86,91.52
1993_1995,4,93.04,92.09,94.02,94.11,91.97
1993_1995,5,93.8,93.52,94.09,94.24,93.36
1993_1995,6,94.08,93.58,94.63,95.03,93.07
1993_1995,7,93.48,92.93,94.01,93.74,93.23
1993_1995,8,93.07,92.95,93.18,93.18,92.95
1993_1995,9,93.09,91.65,94.5,94.2,92.07
1990_1992,0,93.27,93.4,93.12,93.4,93.12
1990_1992,1,93.03,92.23,93.88,94.19,91.83
1990_1992,2,94.46,93.65,95.3,95.4,93.5
1990_1992,3,92.99,92.13,93.88,93.98,92.0
1990_1992,4,92.92,92.36,93.5,93.6,92.24
1990_1992,5,92.76,92.4,93.14,93.32,92.2
1990_1992,6,93.17,92.37,94.0,94.08,92.26
1990_1992,7,93.25,93.34,93.16,93.34,93.16
1990_1992,8,91.3,89.69,93.0,93.07,89.59
1990_1992,9,92.85,91.22,94.52,94.43,91.35
