index,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,year
9,"(6, 7, 11, 13, 14, 16, 35, 36, 39)",[0.94041062 0.93937876 0.93436874 0.9509018 ],0.94126497863027,"('B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'Mean_EVI', 'SLOPE', 'lrad', 'shum')",0.009641712944938829,0.006014862912781726,0.003472682721833226,1993_1995
10,"(3, 6, 7, 11, 13, 14, 16, 35, 36, 39)",[0.94091137 0.94138277 0.93837675 0.9488978 ],0.9423921704199586,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'Mean_EVI', 'SLOPE', 'lrad', 'shum')",0.006293534601041495,0.0039261434226771814,0.0022667599619597494,1993_1995
11,"(3, 6, 7, 11, 13, 14, 16, 19, 35, 36, 39)",[0.93990986 0.94338677 0.93887776 0.95340681],0.9438953018706416,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'Mean_EVI', 'NDBI_constant', 'SLOPE', 'lrad', 'shum')",0.00920099194322049,0.0057399245876876195,0.0033139470058295988,1993_1995
12,"(3, 6, 7, 11, 13, 14, 15, 16, 19, 35, 36, 39)",[0.93890836 0.94789579 0.93537074 0.9488978 ],0.9427681728002826,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'NDBI_constant', 'SLOPE', 'lrad', 'shum')",0.009260074871494361,0.005776782738939633,0.0033352270693767804,1993_1995
13,"(3, 6, 7, 11, 13, 14, 15, 16, 17, 19, 35, 36, 39)",[0.94041062 0.94438878 0.93637275 0.95440882],0.9438952391513121,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'Mean_NDBI', 'NDBI_constant', 'SLOPE', 'lrad', 'shum')",0.010738462210636483,0.0066990563253566384,0.0038677019727611207,1993_1995
14,"(3, 6, 7, 11, 13, 14, 15, 16, 17, 19, 27, 35, 36, 39)",[0.94041062 0.94689379 0.93837675 0.9498998 ],0.9438952391513121,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'Mean_NDBI', 'NDBI_constant', 'NDVI_constant', 'SLOPE', 'lrad', 'shum')",0.0075033534557509855,0.004680873894527207,0.0027025038030479747,1993_1995
15,"(3, 6, 7, 11, 13, 14, 15, 16, 17, 19, 27, 34, 35, 36, 39)",[0.94241362 0.94589178 0.93887776 0.95240481],0.9448969922820101,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'Mean_NDBI', 'NDBI_constant', 'NDVI_constant', 'NDVI_t', 'SLOPE', 'lrad', 'shum')",0.008005093514155112,0.004993878200544852,0.002883216923384774,1993_1995
16,"(3, 6, 7, 11, 13, 14, 15, 16, 17, 19, 27, 34, 35, 36, 39, 42)",[0.94241362 0.94488978 0.93987976 0.9498998 ],0.9442707397770002,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'Mean_NDBI', 'NDBI_constant', 'NDVI_constant', 'NDVI_t', 'SLOPE', 'lrad', 'shum', 'wind')",0.005933149323833621,0.003701321541900481,0.0021369589885736036,1993_1995
17,"(3, 6, 7, 11, 13, 14, 15, 16, 17, 19, 27, 30, 34, 35, 36, 39, 42)",[0.94241362 0.94288577 0.93987976 0.95290581],0.9445212407790042,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'Mean_NDBI', 'NDBI_constant', 'NDVI_constant', 'NDVI_cos_3', 'NDVI_t', 'SLOPE', 'lrad', 'shum', 'wind')",0.007973168529685935,0.0049739621953524766,0.002871718412425774,1993_1995
18,"(3, 6, 7, 11, 13, 14, 15, 16, 17, 19, 27, 30, 34, 35, 36, 37, 39, 42)",[0.94391587 0.94839679 0.93987976 0.9509018 ],0.9457735576310358,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'Mean_NDBI', 'NDBI_constant', 'NDVI_constant', 'NDVI_cos_3', 'NDVI_t', 'SLOPE', 'lrad', 'prec', 'shum', 'wind')",0.006770965384302263,0.004223982689211552,0.002438717542668609,1993_1995
19,"(3, 6, 7, 11, 13, 14, 15, 16, 17, 19, 27, 30, 34, 35, 36, 37, 39, 41, 42)",[0.94491738 0.94839679 0.93987976 0.9509018 ],0.9460239331943808,"('B4', 'B7', 'DEM', 'EVI_cos_3', 'EVI_sin_2', 'EVI_sin_3', 'EVI_t', 'Mean_EVI', 'Mean_NDBI', 'NDBI_constant', 'NDVI_constant', 'NDVI_cos_3', 'NDVI_t', 'SLOPE', 'lrad', 'prec', 'shum', 'temp', 'wind')",0.006628643976080375,0.004135197245701946,0.0023874572429582177,1993_1995
