Tree,CrossFolds,Accuracy,Year,In_Bands
52,split1_test_score,0.8410462776659959,1990_1992,Spectrum
52,split2_test_score,0.8249496981891348,1990_1992,Spectrum
52,split3_test_score,0.846411804158283,1990_1992,Spectrum
53,split0_test_score,0.839142091152815,1990_1992,Spectrum
53,split1_test_score,0.8443997317236754,1990_1992,Spectrum
53,split2_test_score,0.8249496981891348,1990_1992,Spectrum
53,split3_test_score,0.8417169684775319,1990_1992,Spectrum
54,split0_test_score,0.8297587131367292,1990_1992,Spectrum
54,split1_test_score,0.8470824949698189,1990_1992,Spectrum
54,split2_test_score,0.8222669349429913,1990_1992,Spectrum
54,split3_test_score,0.8450704225352113,1990_1992,Spectrum
55,split0_test_score,0.8404825737265416,1990_1992,Spectrum
55,split1_test_score,0.8504359490274983,1990_1992,Spectrum
55,split2_test_score,0.8303152246814218,1990_1992,Spectrum
55,split3_test_score,0.8430583501006036,1990_1992,Spectrum
56,split0_test_score,0.8404825737265416,1990_1992,Spectrum
56,split1_test_score,0.8477531857813548,1990_1992,Spectrum
56,split2_test_score,0.8262910798122066,1990_1992,Spectrum
56,split3_test_score,0.8484238765928906,1990_1992,Spectrum
57,split0_test_score,0.8357908847184986,1990_1992,Spectrum
57,split1_test_score,0.846411804158283,1990_1992,Spectrum
57,split2_test_score,0.8262910798122066,1990_1992,Spectrum
57,split3_test_score,0.8403755868544601,1990_1992,Spectrum
58,split0_test_score,0.8384718498659517,1990_1992,Spectrum
58,split1_test_score,0.8363514419852448,1990_1992,Spectrum
58,split2_test_score,0.8229376257545271,1990_1992,Spectrum
58,split3_test_score,0.8490945674044266,1990_1992,Spectrum
59,split0_test_score,0.8411528150134048,1990_1992,Spectrum
59,split1_test_score,0.8443997317236754,1990_1992,Spectrum
59,split2_test_score,0.829644533869886,1990_1992,Spectrum
59,split3_test_score,0.8437290409121395,1990_1992,Spectrum
60,split0_test_score,0.839142091152815,1990_1992,Spectrum
60,split1_test_score,0.8430583501006036,1990_1992,Spectrum
60,split2_test_score,0.8289738430583501,1990_1992,Spectrum
60,split3_test_score,0.8490945674044266,1990_1992,Spectrum
61,split0_test_score,0.8404825737265416,1990_1992,Spectrum
61,split1_test_score,0.8437290409121395,1990_1992,Spectrum
61,split2_test_score,0.8283031522468142,1990_1992,Spectrum
61,split3_test_score,0.852448021462106,1990_1992,Spectrum
62,split0_test_score,0.8337801608579088,1990_1992,Spectrum
62,split1_test_score,0.8430583501006036,1990_1992,Spectrum
62,split2_test_score,0.8276324614352784,1990_1992,Spectrum
62,split3_test_score,0.8443997317236754,1990_1992,Spectrum
63,split0_test_score,0.829088471849866,1990_1992,Spectrum
63,split1_test_score,0.8457411133467472,1990_1992,Spectrum
63,split2_test_score,0.8283031522468142,1990_1992,Spectrum
63,split3_test_score,0.8450704225352113,1990_1992,Spectrum
64,split0_test_score,0.8404825737265416,1990_1992,Spectrum
64,split1_test_score,0.8423876592890678,1990_1992,Spectrum
64,split2_test_score,0.8316566063044937,1990_1992,Spectrum
64,split3_test_score,0.8430583501006036,1990_1992,Spectrum
65,split0_test_score,0.8344504021447721,1990_1992,Spectrum
65,split1_test_score,0.8423876592890678,1990_1992,Spectrum
65,split2_test_score,0.8269617706237424,1990_1992,Spectrum
65,split3_test_score,0.85177733065057,1990_1992,Spectrum
66,split0_test_score,0.8418230563002681,1990_1992,Spectrum
66,split1_test_score,0.8417169684775319,1990_1992,Spectrum
66,split2_test_score,0.8316566063044937,1990_1992,Spectrum
66,split3_test_score,0.8490945674044266,1990_1992,Spectrum
67,split0_test_score,0.8378016085790885,1990_1992,Spectrum
67,split1_test_score,0.8437290409121395,1990_1992,Spectrum
67,split2_test_score,0.8309859154929577,1990_1992,Spectrum
67,split3_test_score,0.8544600938967136,1990_1992,Spectrum
68,split0_test_score,0.8351206434316354,1990_1992,Spectrum
68,split1_test_score,0.8531187122736419,1990_1992,Spectrum
68,split2_test_score,0.8269617706237424,1990_1992,Spectrum
68,split3_test_score,0.8457411133467472,1990_1992,Spectrum
69,split0_test_score,0.8404825737265416,1990_1992,Spectrum
69,split1_test_score,0.8410462776659959,1990_1992,Spectrum
69,split2_test_score,0.8249496981891348,1990_1992,Spectrum
69,split3_test_score,0.8437290409121395,1990_1992,Spectrum
70,split0_test_score,0.8344504021447721,1990_1992,Spectrum
70,split1_test_score,0.8437290409121395,1990_1992,Spectrum
70,split2_test_score,0.8276324614352784,1990_1992,Spectrum
70,split3_test_score,0.8537894030851777,1990_1992,Spectrum
71,split0_test_score,0.8337801608579088,1990_1992,Spectrum
71,split1_test_score,0.8450704225352113,1990_1992,Spectrum
71,split2_test_score,0.8269617706237424,1990_1992,Spectrum
71,split3_test_score,0.8477531857813548,1990_1992,Spectrum
72,split0_test_score,0.8357908847184986,1990_1992,Spectrum
72,split1_test_score,0.8450704225352113,1990_1992,Spectrum
72,split2_test_score,0.8309859154929577,1990_1992,Spectrum
72,split3_test_score,0.8450704225352113,1990_1992,Spectrum
73,split0_test_score,0.8304289544235925,1990_1992,Spectrum
73,split1_test_score,0.8417169684775319,1990_1992,Spectrum
73,split2_test_score,0.8303152246814218,1990_1992,Spectrum
73,split3_test_score,0.846411804158283,1990_1992,Spectrum
74,split0_test_score,0.8378016085790885,1990_1992,Spectrum
74,split1_test_score,0.8457411133467472,1990_1992,Spectrum
74,split2_test_score,0.8343393695506371,1990_1992,Spectrum
74,split3_test_score,0.8423876592890678,1990_1992,Spectrum
75,split0_test_score,0.8378016085790885,1990_1992,Spectrum
75,split1_test_score,0.8457411133467472,1990_1992,Spectrum
75,split2_test_score,0.8222669349429913,1990_1992,Spectrum
75,split3_test_score,0.846411804158283,1990_1992,Spectrum
76,split0_test_score,0.8418230563002681,1990_1992,Spectrum
76,split1_test_score,0.8443997317236754,1990_1992,Spectrum
76,split2_test_score,0.8229376257545271,1990_1992,Spectrum
76,split3_test_score,0.8490945674044266,1990_1992,Spectrum
77,split0_test_score,0.8364611260053619,1990_1992,Spectrum
77,split1_test_score,0.8477531857813548,1990_1992,Spectrum
77,split2_test_score,0.8289738430583501,1990_1992,Spectrum
77,split3_test_score,0.8477531857813548,1990_1992,Spectrum
78,split0_test_score,0.8357908847184986,1990_1992,Spectrum
78,split1_test_score,0.846411804158283,1990_1992,Spectrum
78,split2_test_score,0.8269617706237424,1990_1992,Spectrum
78,split3_test_score,0.8450704225352113,1990_1992,Spectrum
79,split0_test_score,0.8331099195710456,1990_1992,Spectrum
79,split1_test_score,0.8477531857813548,1990_1992,Spectrum
79,split2_test_score,0.8289738430583501,1990_1992,Spectrum
79,split3_test_score,0.8443997317236754,1990_1992,Spectrum
80,split0_test_score,0.8357908847184986,1990_1992,Spectrum
80,split1_test_score,0.8504359490274983,1990_1992,Spectrum
80,split2_test_score,0.8289738430583501,1990_1992,Spectrum
80,split3_test_score,0.8443997317236754,1990_1992,Spectrum
81,split0_test_score,0.8384718498659517,1990_1992,Spectrum
81,split1_test_score,0.8430583501006036,1990_1992,Spectrum
81,split2_test_score,0.829644533869886,1990_1992,Spectrum
81,split3_test_score,0.8477531857813548,1990_1992,Spectrum
82,split0_test_score,0.8384718498659517,1990_1992,Spectrum
82,split1_test_score,0.8490945674044266,1990_1992,Spectrum
82,split2_test_score,0.8309859154929577,1990_1992,Spectrum
